function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,160,1.000,18.739,7282517.333,nan,1,0,7564588,shasum,60,1.000,5.661,6872337.067,nan,1,0,7221401,nmap,40,1.000,161.592,19939976.533,nan,1,0,118752172,60.533,259.150,3283916800.000,3316088832.000,23.555,23.689,nan,nan,10,0
figlet,160,1.000,22.253,3834965.333,nan,2,0,8572383,shasum,60,1.000,6.968,3698005.333,nan,2,0,7652531,nmap,40,1.000,188.755,3705753.600,nan,2,0,141150723,73.933,296.033,3413456896.000,3429034496.000,24.100,24.163,nan,nan,20,0
figlet,160,1.000,24.665,6821888.000,nan,3,0,8982090,shasum,60,1.000,7.370,5715968.000,nan,3,0,8200339,nmap,40,1.000,214.025,26398890.667,nan,3,0,148589457,78.733,294.983,3461103616.000,3479833600.000,24.294,24.377,nan,nan,15,0
figlet,160,1.000,18.873,10031813.973,nan,3,0,11316133,shasum,60,1.000,6.123,8179438.933,nan,2,0,9548121,nmap,60,1.000,237.518,469127850.667,nan,2,0,7879490234,72.600,364.467,3569797120.000,4060243968.000,24.759,26.719,nan,nan,30,0
figlet,160,1.000,19.683,3117056.000,nan,2,0,11498372,shasum,60,1.000,6.026,4065075.200,nan,2,0,9949802,nmap,60,0.999,224.590,68431872.000,nan,2,0,7567898945,79.133,334.283,3710498816.000,4104125440.000,25.337,26.903,nan,nan,30,0
figlet,160,1.000,18.364,3669319.680,nan,2,0,11464924,shasum,60,1.000,5.587,3469312.000,nan,2,0,10317274,nmap,60,0.999,237.304,283078656.000,nan,2,0,7718135025,77.733,388.467,3746742272.000,4213565030.400,25.485,27.344,nan,nan,25,0
figlet,160,1.000,18.477,3736007.111,nan,2,0,11441357,shasum,60,1.000,5.576,3764224.000,nan,2,0,9946956,nmap,80,0.996,272.420,617668952.584,nan,3,0,15105908285,64.000,443.722,3735240704.000,4267741184.000,25.441,27.566,nan,nan,30,0
figlet,160,1.000,18.801,6578540.089,nan,2,0,11325309,shasum,60,1.000,5.999,10921984.000,nan,2,0,9572358,nmap,80,0.939,264.474,476610560.000,nan,2,0,15180209953,57.467,385.178,3687004160.000,4136064341.333,25.247,27.055,nan,nan,80,0
figlet,160,1.000,19.511,6742016.000,nan,2,0,8508355,shasum,60,1.000,6.244,4468007.822,nan,2,0,7531713,nmap,80,0.491,154.583,265867946.667,nan,1,1,21003420222,57.067,267.933,3736508416.000,3955458389.333,25.449,26.332,nan,nan,115,1
figlet,160,1.000,15.771,3321400.889,nan,2,0,9544817,shasum,60,1.000,4.850,10590734.629,nan,2,0,8466550,nmap,100,0.527,214.757,484771043.556,nan,3,1,21270558663,55.333,361.267,3705769984.000,4120721115.429,25.329,27.002,nan,nan,135,1
figlet,160,1.000,18.572,8577570.133,nan,2,0,11571455,shasum,60,1.000,5.723,3512911.644,nan,2,0,9884786,nmap,100,0.729,261.210,573532933.689,nan,3,1,19652336647,59.467,387.844,3747055616.000,4088895146.667,25.503,26.878,nan,nan,115,1
figlet,160,1.000,17.449,8795511.467,nan,2,0,8276593,shasum,60,1.000,5.123,7415944.533,nan,2,0,7196506,nmap,100,0.328,180.360,207439774.476,nan,1,1,23940096374,54.400,309.324,3738998784.000,4141595794.286,25.483,27.102,nan,nan,195,1
