function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,60,1.000,6.856,6944221.867,nan,1,0,4319411,shasum,140,1.000,9.982,6861175.467,nan,1,0,3255880,env,20,1.000,1.653,6236086.857,nan,1,0,3519599,31.200,90.600,3374944256.000,3399419904.000,26.107,26.206,nan,nan,10,0
figlet,60,1.000,7.932,10418005.333,nan,1,0,4553941,shasum,140,1.000,12.215,10615466.667,nan,1,0,3511801,env,20,1.000,1.877,9910954.667,nan,1,0,3736879,33.000,87.783,3525672960.000,3510372352.000,26.728,26.663,nan,nan,35,0
figlet,60,1.000,7.081,3877137.067,nan,1,0,4157880,shasum,140,1.000,10.909,10649088.000,nan,1,0,3263040,env,20,1.000,1.661,10144085.333,nan,1,0,3173234,34.867,83.200,3555098624.000,3553000960.000,26.848,26.839,nan,nan,30,0
figlet,60,1.000,7.576,3856605.867,nan,1,0,4892907,shasum,140,1.000,11.380,10645162.667,nan,1,0,3875176,env,40,1.000,3.363,3321088.000,nan,1,0,3922988,35.533,92.150,3576948736.000,3575375872.000,26.938,26.931,nan,nan,30,0
figlet,60,1.000,7.522,4040918.552,nan,1,0,4348820,shasum,140,1.000,10.598,10763810.133,nan,2,0,3360944,env,40,1.000,3.284,3992624.762,nan,1,0,3537975,33.733,93.183,3619031040.000,3613857792.000,27.110,27.086,nan,nan,40,0
figlet,60,1.000,8.000,3858432.000,nan,1,0,4853979,shasum,140,1.000,12.733,10769578.667,nan,1,0,3736370,env,40,1.000,3.819,10301610.667,nan,1,0,3940626,28.933,92.050,3613347840.000,3608654848.000,27.081,27.062,nan,nan,75,0
figlet,60,1.000,7.469,3566705.778,nan,1,0,4754022,shasum,140,1.000,11.017,10874197.333,nan,1,0,3399373,env,60,1.000,5.013,10272768.000,nan,1,0,3571916,31.933,89.417,3625111552.000,3602950656.000,27.139,27.048,nan,nan,45,0
figlet,60,1.000,7.037,3940693.333,nan,1,0,4168991,shasum,140,1.000,10.608,10720256.000,nan,1,0,3396901,env,60,1.000,4.698,10398378.667,nan,1,0,3251805,32.467,87.683,3645186048.000,3636611072.000,27.222,27.184,nan,nan,45,0
figlet,60,1.000,7.678,10623658.667,nan,1,0,4128741,shasum,140,1.000,9.646,10772070.400,nan,1,0,3270464,env,60,1.000,4.782,3887104.000,nan,1,0,3197988,31.000,89.133,3652739072.000,3650957824.000,27.244,27.237,nan,nan,70,0
figlet,60,1.000,8.237,3745621.333,nan,1,0,5110622,shasum,140,1.000,12.430,10829824.000,nan,1,0,3910704,env,80,1.000,7.325,3718621.867,nan,1,0,3835911,34.933,106.517,3684087808.000,3672705536.000,27.379,27.333,nan,nan,30,0
