function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,5.496,6238890.667,nan,1,0,8801886,shasum,80,1.000,14.093,7085397.333,nan,1,0,6626685,curl,0,1.000,0.095,3818496.000,nan,1,0,0,52.733,102.200,3991128064.000,4002967552.000,32.016,32.064,nan,nan,10,0
figlet,20,1.000,5.577,3473408.000,nan,2,0,8190691,shasum,80,1.000,14.433,10351957.333,nan,2,0,6223971,curl,0,1.000,0.087,4019370.667,nan,1,0,0,60.000,112.733,4062334976.000,4071921664.000,32.312,32.350,nan,nan,20,0
figlet,20,1.000,8.499,6454579.200,nan,3,0,11434254,shasum,80,1.000,23.006,10495683.048,nan,3,0,8097600,curl,0,1.000,0.088,4241373.867,nan,1,0,0,76.733,125.550,4114880512.000,4132370432.000,32.523,32.595,nan,nan,15,0
figlet,20,1.000,6.371,9873749.333,nan,3,0,8533008,shasum,80,1.000,15.644,10390869.333,nan,4,0,6228597,curl,20,1.000,16.597,11903317.333,nan,1,0,380528442,84.333,141.600,4185020416.000,4202440704.000,32.814,32.887,nan,nan,15,0
figlet,20,1.000,3.986,3461339.429,nan,1,0,7794875,shasum,80,1.000,11.450,10444117.333,nan,1,0,5997523,curl,20,1.000,16.806,16729600.000,nan,1,0,378881018,72.733,154.500,4284440576.000,4300418048.000,33.221,33.282,nan,nan,30,0
figlet,20,1.000,5.416,4671488.000,nan,2,0,8319971,shasum,80,1.000,12.834,4082244.267,nan,2,0,6144946,curl,20,1.000,17.240,4015581.867,nan,2,0,376638757,70.133,138.450,4274186240.000,4272991232.000,33.168,33.164,nan,nan,25,0
figlet,20,1.000,4.123,6190762.667,nan,1,0,7668441,shasum,80,1.000,10.607,10404522.667,nan,1,0,5554189,curl,40,1.000,28.799,22349312.000,nan,1,0,378697628,65.133,142.150,4299610112.000,4300411904.000,33.275,33.277,nan,nan,30,0
figlet,20,1.000,3.992,3387392.000,nan,2,0,7535341,shasum,80,1.000,9.686,3894784.000,nan,2,0,5631820,curl,40,1.000,29.241,23575381.333,nan,2,0,379562706,70.600,156.533,4307191808.000,4311227392.000,33.303,33.320,nan,nan,25,0
figlet,20,1.000,5.039,7022489.600,nan,3,0,8001129,shasum,80,1.000,12.706,10454869.333,nan,3,0,5709626,curl,40,1.000,36.704,19630933.333,nan,3,0,377269029,77.733,156.067,4323168256.000,4347417600.000,33.372,33.471,nan,nan,15,0
figlet,20,1.000,3.724,10051072.000,nan,1,0,7358697,shasum,80,1.000,9.218,10348509.867,nan,1,0,5550593,curl,60,1.000,39.613,27405482.667,nan,1,0,377327574,73.067,156.667,4416634880.000,4404744704.000,33.761,33.711,nan,nan,30,0
