function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,53.133,53.133,5489721344.000,5489721344.000,27.229,27.229,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,56.867,56.867,5491445760.000,5491445760.000,27.238,27.238,nan,nan,25,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,56.867,56.867,5491445760.000,5491445760.000,27.238,27.238,nan,nan,10,0
figlet,0,1.000,0.085,4390058.667,nan,1,0,0,shasum,0,1.000,0.080,4451328.000,nan,1,0,0,eat-memory,20,1.000,68.254,60959402.667,nan,2,0,1079136980,56.267,124.133,5495275520.000,5534996992.000,27.253,27.412,nan,nan,20,0
figlet,0,1.000,0.094,4585120.914,nan,1,0,0,shasum,0,1.000,0.084,4644693.333,nan,1,0,0,eat-memory,20,1.000,73.853,67341482.667,nan,1,0,1078761093,61.000,133.133,5519712256.000,5545206784.000,27.356,27.456,nan,nan,25,0
figlet,0,1.000,0.086,4795562.667,nan,1,0,0,shasum,0,1.000,0.093,4857173.333,nan,1,0,0,eat-memory,20,1.000,71.896,66779306.667,nan,2,0,1079089146,59.467,126.400,5448116224.000,5488218624.000,27.071,27.229,nan,nan,30,0
figlet,0,1.000,0.077,4972032.000,nan,1,0,0,shasum,0,1.000,0.069,5044224.000,nan,1,0,0,eat-memory,40,1.000,146.168,3764224.000,nan,2,0,1078579216,62.400,201.183,5472485376.000,5552907264.000,27.168,27.487,nan,nan,25,0
figlet,0,1.000,0.085,5161813.333,nan,1,0,0,shasum,0,1.000,0.091,5252437.333,nan,1,0,0,eat-memory,40,1.000,139.705,4050944.000,nan,2,0,1079054400,60.800,187.233,5497356288.000,5581101568.000,27.268,27.600,nan,nan,30,0
figlet,0,1.000,0.081,5400488.229,nan,1,0,0,shasum,0,1.000,0.082,5423893.943,nan,1,0,0,eat-memory,40,1.000,135.928,111813144.381,nan,1,0,1076932950,60.667,196.967,5520156672.000,5591475712.000,27.359,27.642,nan,nan,25,0
figlet,0,1.000,0.080,5615957.333,nan,1,0,0,shasum,0,1.000,0.072,5649408.000,nan,1,0,0,eat-memory,60,1.000,188.219,3700736.000,nan,2,0,1077351823,58.867,235.900,5520517120.000,5634755072.000,27.362,27.814,nan,nan,30,0
figlet,0,1.000,0.070,5797717.333,nan,1,0,0,shasum,0,1.000,0.075,5841920.000,nan,1,0,0,eat-memory,60,1.000,189.991,3543040.000,nan,2,0,1080404556,60.067,289.517,5511643136.000,5662715392.000,27.327,27.926,nan,nan,30,0
figlet,0,1.000,0.075,5976917.333,nan,1,0,0,shasum,0,1.000,0.074,6037845.333,nan,1,0,0,eat-memory,60,1.000,199.123,3371008.000,nan,2,0,1078744839,58.000,241.133,5524586496.000,5646882304.000,27.383,27.867,nan,nan,25,0
figlet,0,1.000,0.070,6154786.133,nan,1,0,0,shasum,0,1.000,0.076,6218922.667,nan,1,0,0,eat-memory,80,1.000,235.212,7294976.000,nan,2,0,1133740198,62.133,273.517,5537607680.000,5696777216.000,27.434,28.065,nan,nan,30,0
figlet,0,1.000,0.069,6298794.667,nan,1,0,0,shasum,0,1.000,0.060,6409557.333,nan,1,0,0,eat-memory,80,1.000,272.195,3830459.733,nan,2,0,1590517006,58.467,304.150,5586849792.000,5743378432.000,27.636,28.256,nan,nan,25,0
figlet,0,1.000,0.085,6904661.333,nan,1,0,0,shasum,0,1.000,0.078,6806528.000,nan,1,0,0,eat-memory,80,1.000,237.038,259204778.667,nan,2,0,1262759685,61.467,280.150,5586302976.000,5743687680.000,27.632,28.257,nan,nan,30,0
figlet,0,1.000,0.060,7130453.333,nan,1,0,0,shasum,0,1.000,0.063,7219746.133,nan,1,0,0,eat-memory,100,0.446,324.475,3721898.667,nan,2,1,7911615301,57.333,364.747,5580566528.000,5844382105.600,27.613,28.664,nan,nan,25,1
figlet,0,1.000,0.076,5765802.667,nan,1,0,0,shasum,0,1.000,0.082,6110139.733,nan,1,0,0,eat-memory,100,0.500,324.381,353185382.400,nan,2,1,7367604576,63.000,367.107,5754312704.000,5982980505.600,28.326,29.233,nan,nan,30,1
figlet,0,1.000,0.079,5799744.853,nan,1,0,0,shasum,0,1.000,0.063,5699938.987,nan,1,0,0,eat-memory,100,0.501,314.329,3403776.000,nan,2,1,7461817898,57.267,371.827,5746022400.000,5968366387.200,28.299,29.180,nan,nan,30,1
figlet,0,1.000,0.087,5681425.067,nan,1,0,0,shasum,20,1.000,4.020,7585548.190,nan,2,0,7918916,eat-memory,0,1.000,34.126,3561472.000,nan,1,0,0,61.133,74.617,5796802560.000,5768507904.000,28.492,28.379,nan,nan,20,0
figlet,0,1.000,0.102,5727914.667,nan,1,0,0,shasum,20,1.000,4.581,10626218.667,nan,1,0,7912478,eat-memory,0,1.000,0.094,89739264.000,nan,1,0,0,59.200,71.467,5761292288.000,5732043776.000,28.353,28.236,nan,nan,25,0
figlet,0,1.000,0.094,5678421.333,nan,1,0,0,shasum,20,1.000,4.308,10686293.333,nan,2,0,8001748,eat-memory,0,1.000,1.233,56442197.333,nan,1,0,0,60.667,72.717,5607833600.000,5593211392.000,27.744,27.685,nan,nan,30,0
figlet,0,1.000,0.106,5729280.000,nan,1,0,0,shasum,20,1.000,3.766,10622976.000,nan,2,0,8054811,eat-memory,20,1.000,68.446,106050560.000,nan,2,0,1079764452,59.333,133.100,5580591104.000,5615192576.000,27.636,27.772,nan,nan,30,0
figlet,0,1.000,0.085,5674666.667,nan,1,0,0,shasum,20,1.000,4.065,10890240.000,nan,1,0,7970202,eat-memory,20,1.000,77.844,94072320.000,nan,1,0,1079515142,63.067,141.333,5589227520.000,5618327040.000,27.674,27.787,nan,nan,25,0
figlet,0,1.000,0.095,5711701.333,nan,1,0,0,shasum,20,1.000,3.614,10699946.667,nan,2,0,8057586,eat-memory,20,1.000,69.069,3588096.000,nan,2,0,1080304024,63.200,134.650,5582987264.000,5612325376.000,27.651,27.765,nan,nan,30,0
figlet,0,1.000,0.081,5767655.619,nan,1,0,0,shasum,20,1.000,3.092,10743978.667,nan,2,0,7714133,eat-memory,40,1.000,147.001,139292476.952,nan,1,0,1079642305,61.533,202.967,5523816448.000,5579517440.000,27.413,27.633,nan,nan,40,0
figlet,0,1.000,0.092,5790720.000,nan,1,0,0,shasum,20,1.000,2.847,10612155.733,nan,2,0,7705827,eat-memory,40,1.000,135.729,146526378.667,nan,2,0,1079503108,62.667,192.367,5547661312.000,5622434816.000,27.512,27.807,nan,nan,30,0
