function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,55.667,55.667,5742274560.000,5742274560.000,27.165,27.165,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,56.600,56.600,5662005248.000,5662005248.000,26.848,26.848,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,59.000,59.000,5599578112.000,5599578112.000,26.600,26.600,nan,nan,25,0
figlet,0,1.000,0.105,4301994.667,nan,1,0,0,nmap,0,1.000,0.118,4297216.000,nan,1,0,0,env,20,1.000,4.486,7082496.000,nan,1,0,7669709,59.000,74.933,5599578112.000,5560537600.000,26.600,26.446,nan,nan,10,0
figlet,0,1.000,0.109,4541098.667,nan,1,0,0,nmap,0,1.000,0.117,4526762.667,nan,1,0,0,env,20,1.000,4.129,3772979.200,nan,2,0,7521310,60.200,72.000,5579786240.000,5590744064.000,26.526,26.568,nan,nan,35,0
figlet,0,1.000,0.101,4744874.667,nan,1,0,0,nmap,0,1.000,0.109,4754602.667,nan,1,0,0,env,20,1.000,4.835,10471814.095,nan,1,0,7671217,61.800,74.700,5606086656.000,5601741824.000,26.633,26.614,nan,nan,25,0
figlet,0,1.000,0.103,4910933.333,nan,1,0,0,nmap,0,1.000,0.105,4927658.667,nan,1,0,0,env,40,1.000,8.327,3644245.333,nan,2,0,7259334,61.933,85.350,5620238336.000,5621511680.000,26.689,26.693,nan,nan,30,0
figlet,0,1.000,0.106,5113002.667,nan,1,0,0,nmap,0,1.000,0.104,5146965.333,nan,1,0,0,env,40,1.000,7.718,3975133.867,nan,2,0,7286555,62.200,86.283,5642174464.000,5641974272.000,26.777,26.776,nan,nan,30,0
figlet,0,1.000,0.109,5336541.867,nan,1,0,0,nmap,0,1.000,0.105,5356373.333,nan,1,0,0,env,40,1.000,7.361,10570581.333,nan,2,0,7152192,61.200,89.133,5656551424.000,5654593024.000,26.835,26.827,nan,nan,30,0
figlet,0,1.000,0.107,5555541.333,nan,1,0,0,nmap,0,1.000,0.101,5541376.000,nan,1,0,0,env,60,1.000,12.515,3763882.667,nan,1,0,6897447,58.733,94.067,5655646208.000,5650301952.000,26.832,26.810,nan,nan,25,0
figlet,0,1.000,0.106,5715968.000,nan,1,0,0,nmap,0,1.000,0.106,5753002.667,nan,1,0,0,env,60,1.000,11.876,3633152.000,nan,2,0,6865704,61.133,94.383,5621260288.000,5604166144.000,26.695,26.626,nan,nan,30,0
figlet,0,1.000,0.097,5903872.000,nan,1,0,0,nmap,0,1.000,0.109,5920597.333,nan,1,0,0,env,60,1.000,11.001,10913962.667,nan,2,0,6775218,59.467,91.050,5594722304.000,5593465344.000,26.591,26.584,nan,nan,30,0
figlet,0,1.000,0.100,6063981.714,nan,1,0,0,nmap,0,1.000,0.101,6100675.048,nan,1,0,0,env,80,1.000,16.538,3674333.867,nan,2,0,6560880,60.933,108.517,5594902528.000,5594250752.000,26.591,26.588,nan,nan,25,0
figlet,0,1.000,0.097,6236330.667,nan,1,0,0,nmap,0,1.000,0.090,6287360.000,nan,1,0,0,env,80,1.000,15.407,6162158.933,nan,1,0,6482554,60.333,103.167,5604788224.000,5602326528.000,26.632,26.622,nan,nan,30,0
figlet,0,1.000,0.115,6590976.000,nan,1,0,0,nmap,0,1.000,0.101,6467754.667,nan,1,0,0,env,80,1.000,14.809,10798933.333,nan,2,0,6401163,58.800,100.183,5593055232.000,5584365568.000,26.585,26.549,nan,nan,30,0
figlet,0,1.000,0.095,7164781.714,nan,1,0,0,nmap,0,1.000,0.097,7115776.000,nan,1,0,0,env,100,1.000,16.213,10785792.000,nan,2,0,6187547,60.200,105.100,5594546176.000,5596286464.000,26.592,26.598,nan,nan,30,0
figlet,0,1.000,0.104,7047241.143,nan,1,0,0,nmap,0,1.000,0.096,7255313.067,nan,1,0,0,env,100,1.000,16.834,10695728.762,nan,1,0,6220043,60.333,112.833,5612230656.000,5609632256.000,26.663,26.652,nan,nan,25,0
figlet,0,1.000,0.100,5489322.667,nan,1,0,0,nmap,0,1.000,0.106,5425493.333,nan,1,0,0,env,100,1.000,17.946,3775488.000,nan,1,0,6292595,60.933,109.333,5614397440.000,5616029184.000,26.673,26.678,nan,nan,30,0
figlet,0,1.000,0.110,5571413.333,nan,1,0,0,nmap,0,1.000,0.103,5503829.333,nan,1,0,0,env,120,1.000,19.627,10770432.000,nan,2,0,5932843,61.867,113.733,5656432640.000,5656633856.000,26.840,26.840,nan,nan,30,0
figlet,0,1.000,0.105,5611520.000,nan,1,0,0,nmap,0,1.000,0.095,5356544.000,nan,1,0,0,env,120,1.000,18.632,2978986.667,nan,2,0,5916280,60.200,109.450,5665871872.000,5665150464.000,26.878,26.874,nan,nan,30,0
figlet,0,1.000,0.092,5669478.400,nan,1,0,0,nmap,0,1.000,0.097,5434221.714,nan,1,0,0,env,120,1.000,20.640,10847232.000,nan,1,0,5898735,61.800,117.933,5678045184.000,5673270784.000,26.928,26.908,nan,nan,25,0
figlet,0,1.000,0.096,5838677.333,nan,1,0,0,nmap,0,1.000,0.090,5587626.667,nan,1,0,0,env,140,1.000,22.497,3532800.000,nan,1,0,5619195,60.000,119.017,5680080896.000,5673125376.000,26.936,26.907,nan,nan,30,0
figlet,0,1.000,0.107,5861034.667,nan,1,0,0,nmap,0,1.000,0.128,5727744.000,nan,1,0,0,env,140,1.000,21.140,10702848.000,nan,2,0,5577815,63.000,116.283,5675993088.000,5671973376.000,26.919,26.902,nan,nan,45,0
figlet,0,1.000,0.091,5761297.067,nan,1,0,0,nmap,0,1.000,0.098,5635754.667,nan,1,0,0,env,140,1.000,20.737,10966220.800,nan,2,0,5551293,58.667,113.017,5676056576.000,5672948736.000,26.921,26.907,nan,nan,30,0
