function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,55.067,55.067,5669421056.000,5669421056.000,26.272,26.272,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,55.067,55.067,5669421056.000,5669421056.000,26.272,26.272,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,60.467,60.467,5684926464.000,5684926464.000,26.334,26.334,nan,nan,20,0
figlet,0,1.000,0.091,4352682.667,nan,1,0,0,nmap,0,1.000,0.106,4167509.333,nan,1,0,0,curl,20,1.000,19.264,8337237.333,nan,1,0,202727872,60.467,100.600,5684926464.000,5693369344.000,26.334,26.368,nan,nan,10,0
figlet,0,1.000,0.083,4580556.800,nan,1,0,0,nmap,0,1.000,0.094,4447232.000,nan,1,0,0,curl,20,1.000,21.135,3690812.952,nan,1,0,200426053,61.533,97.933,5547935744.000,5554456064.000,25.796,25.821,nan,nan,30,0
figlet,0,1.000,0.089,4768768.000,nan,1,0,0,nmap,0,1.000,0.094,4705792.000,nan,1,0,0,curl,20,1.000,19.798,3684352.000,nan,2,0,396022007,62.600,97.667,5594255360.000,5597818880.000,25.981,25.994,nan,nan,30,0
figlet,0,1.000,0.088,5060096.000,nan,1,0,0,nmap,0,1.000,0.088,4898133.333,nan,1,0,0,curl,40,1.000,32.290,6677845.333,nan,2,0,395956326,63.133,115.450,5622276096.000,5630296576.000,26.094,26.125,nan,nan,30,0
figlet,0,1.000,0.086,5320913.676,nan,1,0,0,nmap,0,1.000,0.085,5089752.990,nan,1,0,0,curl,40,1.000,33.328,4031334.400,nan,2,0,399625354,62.933,124.450,5638862848.000,5644359168.000,26.159,26.180,nan,nan,25,0
figlet,0,1.000,0.083,5476522.667,nan,1,0,0,nmap,0,1.000,0.090,5274965.333,nan,1,0,0,curl,40,1.000,34.759,23243946.667,nan,2,0,395088346,62.000,118.550,5648248832.000,5652935680.000,26.199,26.216,nan,nan,30,0
figlet,0,1.000,0.080,5709482.667,nan,1,0,0,nmap,0,1.000,0.086,5446656.000,nan,1,0,0,curl,60,1.000,44.831,3697664.000,nan,2,0,379008526,61.667,128.950,5649332224.000,5650429952.000,26.202,26.205,nan,nan,30,0
figlet,0,1.000,0.080,5933909.333,nan,1,0,0,nmap,0,1.000,0.077,5641216.000,nan,1,0,0,curl,60,1.000,48.477,3807744.000,nan,2,0,381587939,61.000,138.200,5643692032.000,5649952768.000,26.181,26.205,nan,nan,25,0
figlet,0,1.000,0.078,6156288.000,nan,1,0,0,nmap,0,1.000,0.082,5788672.000,nan,1,0,0,curl,60,1.000,43.845,8032768.000,nan,2,0,382587538,61.200,131.617,5626001408.000,5633552896.000,26.111,26.141,nan,nan,30,0
