function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,59.200,59.200,5918705664.000,5918705664.000,27.027,27.027,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,60.867,60.867,5880432640.000,5880432640.000,26.876,26.876,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,60.867,60.867,5880432640.000,5880432640.000,26.876,26.876,nan,nan,10,0
figlet,0,1.000,0.097,4341077.333,nan,1,0,0,nmap,0,1.000,0.107,4303701.333,nan,1,0,0,eat-memory,20,1.000,71.464,61156864.000,nan,2,0,1079800452,57.867,129.567,5885753344.000,5926147072.000,26.898,27.059,nan,nan,20,0
figlet,0,1.000,0.101,4618410.667,nan,1,0,0,nmap,0,1.000,0.089,4624213.333,nan,1,0,0,eat-memory,20,1.000,67.680,3577856.000,nan,2,0,1079613143,59.800,123.867,5751613440.000,5787021312.000,26.370,26.510,nan,nan,45,0
figlet,0,1.000,0.094,4842496.000,nan,1,0,0,nmap,0,1.000,0.091,4934485.333,nan,1,0,0,eat-memory,20,1.000,75.247,67012266.667,nan,2,0,1079969581,56.733,128.950,5752207360.000,5795961856.000,26.372,26.546,nan,nan,40,0
figlet,0,1.000,0.086,5016234.667,nan,1,0,0,nmap,0,1.000,0.084,5090650.210,nan,1,0,0,eat-memory,40,1.000,134.656,3917141.333,nan,2,0,1080113468,60.400,183.400,5770549248.000,5856430080.000,26.447,26.788,nan,nan,30,0
figlet,0,1.000,0.092,5322410.667,nan,1,0,0,nmap,0,1.000,0.082,5389312.000,nan,1,0,0,eat-memory,40,1.000,147.644,121273514.667,nan,2,0,1078575019,56.667,191.900,5791772672.000,5871333888.000,26.531,26.847,nan,nan,40,0
figlet,0,1.000,0.088,5556736.000,nan,1,0,0,nmap,0,1.000,0.081,5596842.667,nan,1,0,0,eat-memory,40,1.000,133.998,122014890.667,nan,2,0,1079660352,55.800,181.550,5791299584.000,5874062848.000,26.530,26.859,nan,nan,45,0
figlet,0,1.000,0.078,5855744.000,nan,1,0,0,nmap,0,1.000,0.082,5940736.000,nan,1,0,0,eat-memory,60,1.000,202.095,177115477.333,nan,2,0,1079536687,57.600,247.450,5813266432.000,5936646144.000,26.585,27.075,nan,nan,55,0
figlet,0,1.000,0.076,6129322.667,nan,1,0,0,nmap,0,1.000,0.072,6148676.267,nan,1,0,0,eat-memory,60,1.000,189.396,3637248.000,nan,2,0,1081551903,56.067,230.367,5825398784.000,5944893952.000,26.634,27.109,nan,nan,45,0
figlet,0,1.000,0.075,6296064.000,nan,1,0,0,nmap,0,1.000,0.078,6305792.000,nan,1,0,0,eat-memory,60,1.000,213.499,3617223.111,nan,2,0,1080983694,56.667,250.183,5852368896.000,5971661824.000,26.746,27.219,nan,nan,25,0
figlet,0,1.000,0.077,6513834.667,nan,1,0,0,nmap,0,1.000,0.075,6583466.667,nan,1,0,0,eat-memory,80,1.000,249.236,234848426.667,nan,2,0,1147458960,56.467,282.267,5867757568.000,6031213568.000,26.805,27.454,nan,nan,45,0
figlet,0,1.000,0.078,7139840.000,nan,1,0,0,nmap,0,1.000,0.083,6932309.333,nan,1,0,0,eat-memory,80,1.000,275.432,252600320.000,nan,1,0,1137836590,58.600,304.300,5893046272.000,6047426560.000,26.912,27.524,nan,nan,25,0
figlet,0,1.000,0.074,7242410.667,nan,1,0,0,nmap,0,1.000,0.073,7333034.667,nan,1,0,0,eat-memory,80,1.000,256.424,3637248.000,nan,2,0,1260982991,59.400,289.800,5825132544.000,5988960768.000,26.641,27.291,nan,nan,30,0
figlet,0,1.000,0.071,5863014.400,nan,1,0,0,nmap,0,1.000,0.076,6764707.840,nan,1,0,0,eat-memory,100,0.454,338.991,312451906.804,nan,1,1,7904959561,58.400,370.733,5840986112.000,6113222656.000,26.707,27.789,nan,nan,25,1
figlet,0,1.000,0.059,5837650.408,nan,1,0,0,nmap,0,1.000,0.058,5776725.333,nan,1,0,0,eat-memory,100,0.456,352.038,370636468.419,nan,1,1,7768307670,59.467,375.813,5995739136.000,6227395379.200,27.332,28.251,nan,nan,15,1
figlet,0,1.000,0.069,5755426.133,nan,1,0,0,nmap,0,1.000,0.064,5829758.781,nan,1,0,0,eat-memory,100,0.451,311.932,2924544.000,nan,1,1,7901438470,58.067,342.360,6017918976.000,6226991104.000,27.420,28.251,nan,nan,20,1
figlet,0,1.000,0.103,5767680.000,nan,1,0,0,nmap,20,1.000,79.841,13500416.000,nan,2,0,97159916,eat-memory,0,1.000,0.092,86552576.000,nan,1,0,0,56.667,136.933,5975230464.000,5983274496.000,27.253,27.289,nan,nan,45,0
figlet,0,1.000,0.096,5753514.667,nan,1,0,0,nmap,20,1.000,95.446,11573162.667,nan,1,0,97058367,eat-memory,0,1.000,1.285,76369139.810,nan,1,0,0,58.067,147.783,5997012992.000,5949065216.000,27.356,27.165,nan,nan,25,0
figlet,0,1.000,0.101,5841237.333,nan,1,0,0,nmap,20,1.000,88.284,3677354.667,nan,2,0,102503481,eat-memory,0,1.000,0.103,61997056.000,nan,1,0,0,59.600,142.900,5860655104.000,5860217344.000,26.804,26.802,nan,nan,30,0
figlet,0,1.000,0.082,5988181.333,nan,1,0,0,nmap,20,1.000,82.575,3423061.333,nan,2,0,96216207,eat-memory,20,1.000,68.728,106806613.333,nan,2,0,1079667308,59.533,197.550,5852358656.000,5876695040.000,26.776,26.872,nan,nan,30,0
figlet,0,1.000,0.090,5957120.000,nan,1,0,0,nmap,20,1.000,92.580,3832945.778,nan,2,0,98155683,eat-memory,20,1.000,74.956,93232810.667,nan,1,0,1079891393,60.200,211.017,5867716608.000,5910194688.000,26.836,27.004,nan,nan,40,0
figlet,0,1.000,0.080,5833386.667,nan,1,0,0,nmap,20,1.000,83.794,4083712.000,nan,2,0,100606140,eat-memory,20,1.000,68.374,92474538.667,nan,2,0,1080389545,58.000,197.567,5874993152.000,5916137472.000,26.861,27.025,nan,nan,60,0
figlet,0,1.000,0.075,5730474.667,nan,1,0,0,nmap,20,1.000,86.405,3868672.000,nan,1,0,99011894,eat-memory,40,1.000,136.178,146963114.667,nan,1,0,1080468430,58.467,262.250,5856374784.000,5931177472.000,26.790,27.087,nan,nan,55,0
figlet,0,1.000,0.085,5884757.333,nan,1,0,0,nmap,20,1.000,78.372,3820168.533,nan,2,0,103624574,eat-memory,40,1.000,126.130,4052992.000,nan,2,0,1083326591,60.467,247.183,5872801792.000,5950530560.000,26.859,27.167,nan,nan,45,0
figlet,0,1.000,0.083,5950293.333,nan,1,0,0,nmap,20,1.000,87.420,3895296.000,nan,1,0,100806470,eat-memory,40,1.000,140.498,146986666.667,nan,2,0,1082064683,57.467,264.217,5863393280.000,5942088704.000,26.819,27.132,nan,nan,55,0
