function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,59.600,59.600,5742520320.000,5742520320.000,26.956,26.956,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,59.733,59.733,5686005760.000,5686005760.000,26.732,26.732,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,66.867,66.867,5689327616.000,5689327616.000,26.745,26.745,nan,nan,10,0
figlet,0,1.000,0.105,4130099.200,nan,1,0,0,env,0,1.000,0.108,4174433.524,nan,1,0,0,curl,20,1.000,19.935,12271952.457,nan,1,0,384411169,61.067,96.450,5688899584.000,5684232704.000,26.743,26.725,nan,nan,10,0
figlet,0,1.000,0.104,4384768.000,nan,1,0,0,env,0,1.000,0.096,4401322.667,nan,1,0,0,curl,20,1.000,19.950,3762005.333,nan,2,0,384528597,61.267,107.050,5663614976.000,5669317120.000,26.647,26.669,nan,nan,30,0
figlet,0,1.000,0.106,4591104.000,nan,1,0,0,env,0,1.000,0.093,4595541.333,nan,1,0,0,curl,20,1.000,19.393,5268514.133,nan,2,0,390571365,60.467,94.033,5682098176.000,5680441856.000,26.718,26.710,nan,nan,30,0
figlet,0,1.000,0.090,4832153.600,nan,1,0,0,env,0,1.000,0.086,4877004.800,nan,1,0,0,curl,40,1.000,33.238,4207445.333,nan,2,0,379998217,60.800,123.867,5685997568.000,5694477824.000,26.734,26.766,nan,nan,25,0
figlet,0,1.000,0.103,5033984.000,nan,1,0,0,env,0,1.000,0.090,5053269.333,nan,1,0,0,curl,40,1.000,34.969,22566058.667,nan,2,0,380703547,62.400,118.917,5635127296.000,5649785856.000,26.532,26.590,nan,nan,30,0
figlet,0,1.000,0.107,5226325.333,nan,1,0,0,env,0,1.000,0.079,5288618.667,nan,1,0,0,curl,40,1.000,32.667,22613504.000,nan,2,0,379750671,60.267,114.783,5692473344.000,5696078848.000,26.760,26.773,nan,nan,30,0
figlet,0,1.000,0.092,5502659.048,nan,1,0,0,env,0,1.000,0.086,5587236.571,nan,1,0,0,curl,60,1.000,47.610,23535616.000,nan,2,0,379007820,60.467,139.717,5698932736.000,5707156992.000,26.786,26.818,nan,nan,25,0
figlet,0,1.000,0.092,5619541.333,nan,1,0,0,env,0,1.000,0.080,5741226.667,nan,1,0,0,curl,60,1.000,45.604,8988160.000,nan,2,0,381372399,63.667,134.567,5668171776.000,5664481792.000,26.666,26.651,nan,nan,30,0
figlet,0,1.000,0.089,5825882.210,nan,1,0,0,env,0,1.000,0.081,5930496.000,nan,1,0,0,curl,60,1.000,39.510,25805824.000,nan,2,0,373857800,60.200,128.300,5675206656.000,5675830784.000,26.695,26.696,nan,nan,30,0
figlet,0,1.000,0.086,6031530.667,nan,1,0,0,env,0,1.000,0.085,6152192.000,nan,1,0,0,curl,80,1.000,57.525,22331392.000,nan,3,0,378350597,59.067,153.350,5665939456.000,5683821568.000,26.659,26.730,nan,nan,25,0
figlet,0,1.000,0.091,6210389.333,nan,1,0,0,env,0,1.000,0.084,6336853.333,nan,1,0,0,curl,80,1.000,52.764,10805189.486,nan,2,0,377912547,62.200,144.717,5688113152.000,5695365632.000,26.747,26.775,nan,nan,30,0
figlet,0,1.000,0.085,6362453.333,nan,1,0,0,env,0,1.000,0.076,6500522.667,nan,1,0,0,curl,80,1.000,56.913,4004010.667,nan,2,0,381500033,60.067,151.483,5681154048.000,5693442048.000,26.720,26.768,nan,nan,25,0
figlet,0,1.000,0.088,7035392.000,nan,1,0,0,env,0,1.000,0.087,6861482.667,nan,1,0,0,curl,100,1.000,62.814,4049152.000,nan,2,0,376052251,61.933,158.133,5694779392.000,5708698112.000,26.776,26.831,nan,nan,30,0
figlet,0,1.000,0.093,7057578.667,nan,1,0,0,env,0,1.000,0.079,7395669.333,nan,1,0,0,curl,100,1.000,63.309,4287863.467,nan,2,0,378191600,59.733,151.783,5699940352.000,5711061504.000,26.798,26.840,nan,nan,30,0
figlet,0,1.000,0.083,5728426.667,nan,1,0,0,env,0,1.000,0.085,7228074.667,nan,1,0,0,curl,100,1.000,66.786,3691349.333,nan,2,0,375306104,57.400,162.917,5643683840.000,5661594624.000,26.574,26.645,nan,nan,25,0
figlet,0,1.000,0.084,5788160.000,nan,1,0,0,env,0,1.000,0.082,5864277.333,nan,1,0,0,curl,120,1.000,69.055,45226837.333,nan,2,0,377627851,59.333,165.017,5694949376.000,5706843648.000,26.744,26.790,nan,nan,30,0
figlet,0,1.000,0.072,5619712.000,nan,1,0,0,env,0,1.000,0.090,5946270.476,nan,1,0,0,curl,120,1.000,63.820,40784042.667,nan,1,0,376167431,61.133,179.900,5702641664.000,5715378176.000,26.776,26.825,nan,nan,25,0
figlet,0,1.000,0.082,5636778.667,nan,1,0,0,env,0,1.000,0.075,5740032.000,nan,1,0,0,curl,120,1.000,72.812,3448917.333,nan,2,0,375219848,61.067,172.883,5674952704.000,5681793024.000,26.667,26.693,nan,nan,30,0
figlet,0,1.000,0.080,5622272.000,nan,1,0,0,env,0,1.000,0.077,5798400.000,nan,1,0,0,curl,140,1.000,76.093,48993621.333,nan,2,0,378353953,59.133,176.050,5662633984.000,5679327232.000,26.619,26.684,nan,nan,30,0
