function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,57.933,57.933,5958889472.000,5958889472.000,29.140,29.140,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,57.267,57.267,5931335680.000,5931335680.000,29.033,29.033,nan,nan,25,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,58.533,58.533,5878470656.000,5878470656.000,28.823,28.823,nan,nan,25,0
figlet,0,1.000,0.101,4222464.000,nan,1,0,0,env,0,1.000,0.095,3957930.667,nan,1,0,0,eat-memory,20,1.000,71.588,61216768.000,nan,1,0,1079925679,58.533,144.233,5878470656.000,5951753216.000,28.823,29.115,nan,nan,10,0
figlet,0,1.000,0.102,4503552.000,nan,1,0,0,env,0,1.000,0.102,4276224.000,nan,1,0,0,eat-memory,20,1.000,69.638,66548565.333,nan,2,0,1080370177,59.317,124.209,5917329408.000,5940033536.000,28.980,29.070,nan,nan,50,0
figlet,0,1.000,0.105,4760064.000,nan,1,0,0,env,0,1.000,0.097,4544170.667,nan,1,0,0,eat-memory,20,1.000,75.675,67607040.000,nan,2,0,1080998102,58.933,131.583,5878851584.000,5923878912.000,28.827,29.006,nan,nan,40,0
figlet,0,1.000,0.093,4949674.667,nan,1,0,0,env,0,1.000,0.086,4744874.667,nan,1,0,0,eat-memory,40,1.000,134.461,104708266.667,nan,2,0,1081055495,60.467,182.950,5918162944.000,5992195584.000,28.986,29.279,nan,nan,30,0
figlet,0,1.000,0.090,5206357.333,nan,1,0,0,env,0,1.000,0.077,4973056.000,nan,1,0,0,eat-memory,40,1.000,148.115,3373056.000,nan,1,0,1079464100,59.800,195.750,5920544768.000,5998151680.000,28.997,29.304,nan,nan,25,0
figlet,0,1.000,0.084,5403989.333,nan,1,0,0,env,0,1.000,0.087,5151914.667,nan,1,0,0,eat-memory,40,1.000,136.762,122988373.333,nan,2,0,1080555773,58.600,185.217,5855993856.000,5936785920.000,28.741,29.061,nan,nan,30,0
figlet,0,1.000,0.074,5561275.733,nan,1,0,0,env,0,1.000,0.078,5362814.781,nan,1,0,0,eat-memory,60,1.000,215.378,3264512.000,nan,2,0,1082381708,60.600,255.717,5880090624.000,5999955456.000,28.837,29.313,nan,nan,25,0
