function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,56.000,56.000,5802651648.000,5802651648.000,28.532,28.532,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,55.000,55.000,5738235904.000,5738235904.000,28.277,28.277,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,55.000,69.000,5738235904.000,5737146368.000,28.277,28.274,nan,nan,10,0
figlet,0,1.000,0.087,4230607.238,nan,1,0,0,curl,0,1.000,0.104,4276979.810,nan,1,0,0,eat-memory,20,1.000,69.227,56073537.829,nan,1,0,1078824252,59.200,131.900,5735841792.000,5779979776.000,28.269,28.445,nan,nan,15,0
figlet,0,1.000,0.089,4464469.333,nan,1,0,0,curl,0,1.000,0.094,4489728.000,nan,1,0,0,eat-memory,20,1.000,72.445,65695061.333,nan,2,0,1078314157,60.133,126.620,5637443584.000,5682653184.000,27.881,28.060,nan,nan,30,0
figlet,0,1.000,0.093,4680655.238,nan,1,0,0,curl,0,1.000,0.094,4724906.667,nan,1,0,0,eat-memory,20,1.000,68.258,3894613.333,nan,1,0,1078166099,60.467,132.983,5656981504.000,5688979968.000,27.960,28.086,nan,nan,25,0
figlet,0,1.000,0.082,4922197.333,nan,1,0,0,curl,0,1.000,0.089,4879360.000,nan,1,0,0,eat-memory,40,1.000,135.870,3647488.000,nan,2,0,1077221703,60.467,188.200,5667710976.000,5751729152.000,28.003,28.336,nan,nan,30,0
figlet,0,1.000,0.090,5118064.152,nan,1,0,0,curl,0,1.000,0.078,5046272.000,nan,1,0,0,eat-memory,40,1.000,128.472,10774528.000,nan,2,0,1076688055,61.000,174.833,5681115136.000,5755413504.000,28.058,28.352,nan,nan,30,0
figlet,0,1.000,0.085,5354666.667,nan,1,0,0,curl,0,1.000,0.090,5262165.333,nan,1,0,0,eat-memory,40,1.000,139.155,4026368.000,nan,2,0,1077645908,61.333,191.167,5713811456.000,5780140032.000,28.195,28.455,nan,nan,25,0
figlet,0,1.000,0.071,5488401.067,nan,1,0,0,curl,0,1.000,0.081,5459456.000,nan,1,0,0,eat-memory,60,1.000,183.359,3552597.333,nan,2,0,1078956505,62.800,226.850,5692928000.000,5807952896.000,28.106,28.562,nan,nan,30,0
figlet,0,1.000,0.077,5696341.333,nan,1,0,0,curl,0,1.000,0.078,5629781.333,nan,1,0,0,eat-memory,60,1.000,208.554,4808135.111,nan,2,0,1078959983,60.000,247.367,5728143360.000,5849528832.000,28.250,28.730,nan,nan,25,0
