function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,60.200,60.200,5755705344.000,5755705344.000,31.611,31.611,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,59.933,59.933,5753135104.000,5753135104.000,31.602,31.602,nan,nan,25,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,59.933,59.933,5753135104.000,5753135104.000,31.602,31.602,nan,nan,10,0
shasum,0,1.000,0.096,4007424.000,nan,1,0,0,env,0,1.000,0.097,4201472.000,nan,1,0,0,eat-memory,20,1.000,68.417,60610560.000,nan,1,0,1080313594,59.933,126.900,5778065408.000,5815905792.000,31.702,31.852,nan,nan,20,0
shasum,0,1.000,0.097,4409685.333,nan,1,0,0,env,0,1.000,0.096,4469062.705,nan,1,0,0,eat-memory,20,1.000,76.720,66429098.667,nan,2,0,1079188333,59.733,133.367,5702758400.000,5733843456.000,31.406,31.529,nan,nan,40,0
shasum,0,1.000,0.102,4581717.333,nan,1,0,0,env,0,1.000,0.093,4694528.000,nan,1,0,0,eat-memory,20,1.000,72.389,67229525.333,nan,1,0,1080089142,61.333,128.233,5762381824.000,5801181696.000,31.646,31.799,nan,nan,30,0
shasum,0,1.000,0.094,4775253.333,nan,1,0,0,env,0,1.000,0.080,4923270.095,nan,1,0,0,eat-memory,40,1.000,150.641,3420160.000,nan,2,0,1078644811,60.733,197.517,5742635008.000,5826079232.000,31.564,31.896,nan,nan,40,0
shasum,0,1.000,0.095,5088597.333,nan,1,0,0,env,0,1.000,0.085,5134848.000,nan,1,0,0,eat-memory,40,1.000,137.706,4012942.222,nan,1,0,1077786830,63.133,187.050,5766330368.000,5844152320.000,31.664,31.972,nan,nan,30,0
shasum,0,1.000,0.085,5309610.667,nan,1,0,0,env,0,1.000,0.099,5367466.667,nan,1,0,0,eat-memory,40,1.000,138.640,3375104.000,nan,2,0,1078804537,55.867,197.200,5768833024.000,5847693312.000,31.671,31.985,nan,nan,40,0
shasum,0,1.000,0.081,5504000.000,nan,1,0,0,env,0,1.000,0.088,5630976.000,nan,1,0,0,eat-memory,60,1.000,196.455,11085824.000,nan,1,0,1079646925,63.200,238.150,5754923008.000,5877660160.000,31.617,32.104,nan,nan,45,0
shasum,0,1.000,0.081,5796015.543,nan,1,0,0,env,0,1.000,0.082,5843212.190,nan,1,0,0,eat-memory,60,1.000,215.236,2940928.000,nan,2,0,1079876485,58.333,255.050,5775413248.000,5886986240.000,31.699,32.143,nan,nan,40,0
shasum,0,1.000,0.079,6006101.333,nan,1,0,0,env,0,1.000,0.081,6084437.333,nan,1,0,0,eat-memory,60,1.000,248.663,10417584.356,nan,1,0,1247428819,60.200,280.433,5770135552.000,5911041024.000,31.682,32.241,nan,nan,30,0
shasum,0,1.000,0.082,6262019.413,nan,1,0,0,env,0,1.000,0.087,6348850.712,nan,1,0,0,eat-memory,80,0.654,321.115,85221888.000,nan,2,1,6375859941,63.267,371.960,5784229888.000,6036029030.400,31.738,32.742,nan,nan,55,1
shasum,0,1.000,0.081,7031808.000,nan,1,0,0,env,0,1.000,0.106,7143253.333,nan,1,0,0,eat-memory,80,0.932,246.803,15271936.000,nan,1,0,4035466835,65.467,295.617,5905324032.000,6043384832.000,32.232,32.780,nan,nan,35,0
shasum,0,1.000,0.112,6224554.667,nan,1,0,0,env,0,1.000,0.124,6631082.667,nan,1,0,0,eat-memory,80,0.940,246.759,3694592.000,nan,1,0,4192774786,64.600,289.133,5901060096.000,6038616064.000,32.215,32.761,nan,nan,50,0
shasum,0,1.000,0.069,5382280.533,nan,1,0,0,env,0,1.000,0.077,5601280.000,nan,1,0,0,eat-memory,100,0.398,300.391,299838532.267,nan,1,1,8178426458,62.200,345.200,5882265600.000,6108788326.400,32.140,33.041,nan,nan,35,1
shasum,0,1.000,0.073,5328896.000,nan,1,0,0,env,0,1.000,0.082,5630771.200,nan,1,0,0,eat-memory,100,0.480,304.224,354390562.133,nan,1,1,7426103918,59.933,347.133,6000003072.000,6219301273.600,32.618,33.488,nan,nan,30,1
shasum,0,1.000,0.077,5366988.800,nan,1,0,0,env,0,1.000,0.071,5693986.133,nan,1,0,0,eat-memory,100,0.386,307.839,346430805.333,nan,1,1,8795729320,60.600,351.253,6040522752.000,6169003622.400,32.780,33.290,nan,nan,30,1
