function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,32.067,32.067,6111270912.000,6111270912.000,32.121,32.121,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,32.067,32.067,6111270912.000,6111270912.000,32.121,32.121,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,32.904,32.904,6081585152.000,6081585152.000,32.005,32.005,nan,nan,20,0
shasum,0,1.000,0.052,4116650.667,nan,1,0,0,curl,0,1.000,0.053,4084394.667,nan,1,0,0,eat-memory,20,1.000,60.216,61039274.667,nan,1,0,1068604903,32.904,105.850,6081585152.000,6119557120.000,32.005,32.157,nan,nan,10,0
shasum,0,1.000,0.053,4379482.210,nan,1,0,0,curl,0,1.000,0.055,4316696.381,nan,1,0,0,eat-memory,20,1.000,60.154,61244898.743,nan,2,0,1068971788,30.200,99.917,6004893696.000,6044634624.000,31.703,31.861,nan,nan,30,0
shasum,0,1.000,0.056,4592469.333,nan,1,0,0,curl,0,1.000,0.054,4617045.333,nan,1,0,0,eat-memory,20,1.000,64.868,4014762.667,nan,1,0,1068905572,34.600,96.967,6036830208.000,6072712704.000,31.834,31.975,nan,nan,30,0
shasum,0,1.000,0.056,4921856.000,nan,1,0,0,curl,0,1.000,0.051,4870656.000,nan,1,0,0,eat-memory,40,1.000,118.823,102387541.333,nan,1,0,1069947047,32.438,145.813,6028134400.000,6112444416.000,31.795,32.130,nan,nan,45,0
shasum,0,1.000,0.053,5108053.333,nan,1,0,0,curl,0,1.000,0.053,5116757.333,nan,1,0,0,eat-memory,40,1.000,130.790,49926144.000,nan,2,0,1070777310,32.533,160.950,6049912832.000,6124609024.000,31.883,32.180,nan,nan,40,0
shasum,0,1.000,0.054,5359957.333,nan,1,0,0,curl,0,1.000,0.050,5382656.000,nan,1,0,0,eat-memory,40,1.000,124.956,10706944.000,nan,1,0,1072684419,34.667,154.050,6069161984.000,6143858176.000,31.960,32.256,nan,nan,45,0
shasum,0,1.000,0.055,5562806.857,nan,1,0,0,curl,0,1.000,0.054,5642176.610,nan,1,0,0,eat-memory,60,1.000,202.956,170143573.333,nan,2,0,1075881398,35.096,230.665,6067286016.000,6193638400.000,31.954,32.456,nan,nan,40,0
shasum,0,1.000,0.050,5822976.000,nan,1,0,0,curl,0,1.000,0.050,5877760.000,nan,1,0,0,eat-memory,60,1.000,192.540,177539413.333,nan,1,0,1075231500,35.104,213.884,6079307776.000,6202766848.000,32.002,32.493,nan,nan,45,0
shasum,0,1.000,0.050,6044935.314,nan,1,0,0,curl,0,1.000,0.050,6072285.867,nan,1,0,0,eat-memory,60,1.000,180.468,159904597.333,nan,2,0,1075620653,34.133,233.317,6095101952.000,6216613376.000,32.067,32.550,nan,nan,40,0
shasum,0,1.000,0.053,6264320.000,nan,1,0,0,curl,0,1.000,0.048,6323882.667,nan,1,0,0,eat-memory,80,1.000,264.561,224576000.000,nan,2,0,1374909451,31.467,283.900,6066788352.000,6232218624.000,31.956,32.614,nan,nan,45,0
shasum,0,1.000,0.053,6572612.267,nan,1,0,0,curl,0,1.000,0.059,6930602.667,nan,1,0,0,eat-memory,80,1.000,281.475,122554368.000,nan,2,0,1431974353,32.000,302.383,5984372736.000,6164706816.000,31.638,32.355,nan,nan,40,0
shasum,0,1.000,0.052,7299925.333,nan,1,0,0,curl,0,1.000,0.050,7244288.000,nan,1,0,0,eat-memory,80,1.000,256.938,15507456.000,nan,1,0,1183228402,32.867,277.900,6009331712.000,6176317952.000,31.740,32.399,nan,nan,45,0
shasum,0,1.000,0.062,6310621.379,nan,1,0,0,curl,0,1.000,0.047,5444855.710,nan,1,0,0,eat-memory,100,0.393,298.200,2969600.000,nan,1,1,8953287905,34.067,365.653,6064515072.000,6326394060.800,31.927,32.970,nan,nan,40,1
shasum,0,1.000,0.053,5740107.093,nan,1,0,0,curl,0,1.000,0.053,5488308.419,nan,1,0,0,eat-memory,100,0.432,333.233,3108864.000,nan,1,1,8091278600,32.371,360.108,6294521856.000,6478303232.000,32.857,33.587,nan,nan,30,1
shasum,0,1.000,0.050,5589885.318,nan,1,0,0,curl,0,1.000,0.051,5412173.531,nan,1,0,0,eat-memory,100,0.440,360.246,2801664.000,nan,1,1,7976323038,35.200,365.453,6272008192.000,6477937049.600,32.768,33.586,nan,nan,15,1
shasum,0,1.000,0.050,5607736.076,nan,1,0,0,curl,20,1.000,11.118,11884690.286,nan,2,0,374282880,eat-memory,0,1.000,0.048,92917077.333,nan,1,0,0,32.562,56.448,6187188224.000,6148316672.000,32.430,32.276,nan,nan,30,0
shasum,0,1.000,0.052,5691392.000,nan,1,0,0,curl,20,1.000,11.630,3521843.200,nan,2,0,369536651,eat-memory,0,1.000,0.552,88590677.333,nan,1,0,0,35.067,59.250,6128928768.000,6114324480.000,32.204,32.146,nan,nan,30,0
shasum,0,1.000,0.052,5721600.000,nan,1,0,0,curl,20,1.000,10.686,4035515.733,nan,1,0,372545968,eat-memory,0,1.000,0.056,57749504.000,nan,1,0,0,33.296,53.915,6044807168.000,6049296384.000,31.868,31.885,nan,nan,30,0
shasum,0,1.000,0.054,5854890.667,nan,1,0,0,curl,20,1.000,10.563,3481685.333,nan,1,0,372839709,eat-memory,20,1.000,62.598,104748812.190,nan,1,0,1071447821,33.533,137.933,6061355008.000,6119632896.000,31.933,32.164,nan,nan,30,0
shasum,0,1.000,0.058,5877077.333,nan,1,0,0,curl,20,1.000,11.805,3636906.667,nan,2,0,375028390,eat-memory,20,1.000,64.904,4034560.000,nan,2,0,1070583588,34.200,119.250,6032832512.000,6079988736.000,31.821,32.007,nan,nan,40,0
shasum,0,1.000,0.051,5661696.000,nan,1,0,0,curl,20,1.000,11.046,3605572.267,nan,1,0,379056955,eat-memory,20,1.000,59.052,92859392.000,nan,1,0,1071569478,35.133,112.893,6059368448.000,6101482496.000,31.930,32.096,nan,nan,30,0
shasum,0,1.000,0.056,5778432.000,nan,1,0,0,curl,20,1.000,12.187,4003089.067,nan,2,0,378614099,eat-memory,40,1.000,135.458,3080192.000,nan,2,0,1074768531,34.333,185.683,6054176768.000,6118613504.000,31.908,32.163,nan,nan,40,0
shasum,0,1.000,0.059,5853866.667,nan,1,0,0,curl,20,1.000,11.109,3551232.000,nan,1,0,378302640,eat-memory,40,1.000,124.206,146255018.667,nan,1,0,1073434720,32.038,169.197,6013444096.000,6097949696.000,31.743,32.079,nan,nan,75,0
shasum,0,1.000,0.051,5708458.667,nan,1,0,0,curl,20,1.000,11.344,3545531.733,nan,2,0,380601736,eat-memory,40,1.000,135.246,3235840.000,nan,2,0,1074058709,33.667,187.979,6028826624.000,6109069824.000,31.808,32.126,nan,nan,40,0
shasum,0,1.000,0.050,5906090.667,nan,1,0,0,curl,20,1.000,11.195,4052992.000,nan,1,0,380617553,eat-memory,60,1.000,188.915,199934293.333,nan,1,0,1081355569,31.467,231.152,6000205824.000,6124527616.000,31.692,32.186,nan,nan,75,0
shasum,0,1.000,0.056,5915038.476,nan,1,0,0,curl,20,1.000,10.637,3096576.000,nan,2,0,387086839,eat-memory,60,1.000,174.654,3510272.000,nan,2,0,1084385397,33.800,257.350,6036238336.000,6151654400.000,31.840,32.297,nan,nan,40,0
shasum,0,1.000,0.052,5942272.000,nan,1,0,0,curl,20,1.000,11.345,3473408.000,nan,2,0,381112322,eat-memory,60,1.000,199.119,3387392.000,nan,2,0,1085756642,33.733,239.117,6011461632.000,6136837632.000,31.738,32.237,nan,nan,60,0
shasum,0,1.000,0.051,5969169.067,nan,1,0,0,curl,20,1.000,10.380,17830400.000,nan,1,0,396291477,eat-memory,80,0.817,216.427,213965312.000,nan,1,1,4155724278,33.533,269.417,6020374528.000,6176535552.000,31.775,32.395,nan,nan,75,1
shasum,0,1.000,0.053,5787477.333,nan,1,0,0,curl,20,1.000,10.643,3903317.333,nan,1,0,398249530,eat-memory,80,0.995,231.124,263423146.667,nan,1,0,3298114462,35.467,273.167,6061563904.000,6205647360.000,31.943,32.513,nan,nan,35,0
