function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,110,0.997,11.931,2504704.000,nan,3,0,13740594336,shasum,10,1.000,0.846,2793984.000,nan,2,0,37501873,nmap,120,0.003,24.710,315342848.000,nan,1,1,25997220947,39.067,153.267,1807200256.000,2458009600.000,21.371,29.290,nan,nan,10,1
figlet,110,0.995,13.385,11968512.000,nan,3,0,14081794871,shasum,10,1.000,1.345,6790382.933,nan,2,0,47347837,nmap,120,0.005,20.542,238945166.222,nan,1,1,28819456206,40.733,144.156,1995831296.000,2440750421.333,23.417,28.956,nan,nan,230,1
figlet,110,0.999,13.909,42972667.124,nan,3,0,14276007148,shasum,10,1.000,1.167,2782549.333,nan,2,0,51603628,nmap,120,0.000,24.288,332189510.705,nan,1,1,29991511890,37.600,147.743,2052024320.000,2551886994.286,24.311,30.433,nan,nan,230,1
figlet,110,1.000,16.192,6182024.533,nan,1,0,17976055,shasum,20,1.000,2.364,6701397.333,nan,2,0,12145483,nmap,0,1.000,0.067,3461085.867,nan,1,0,0,37.933,88.967,1985775616.000,1992316928.000,23.526,23.606,nan,nan,250,0
figlet,110,1.000,21.105,5706308.267,nan,3,0,25508459,shasum,20,1.000,3.393,3069952.000,nan,3,0,14307070,nmap,0,1.000,0.074,3598506.667,nan,1,0,0,59.867,102.918,2050385920.000,2078522880.000,24.319,24.663,nan,nan,15,0
figlet,110,1.000,16.479,1568768.000,nan,2,0,11096011,shasum,20,1.000,2.550,7548416.000,nan,1,0,10615620,nmap,0,1.000,0.069,4402858.667,nan,1,0,0,39.667,83.983,2050752512.000,2044927488.000,24.318,24.249,nan,nan,225,0
figlet,110,1.000,15.910,2689024.000,nan,2,0,86262443,shasum,20,1.000,2.476,7877729.524,nan,2,0,18720420,nmap,10,0.830,38.478,209589576.330,nan,1,1,19466568285,38.667,128.386,2051985408.000,2270194005.333,24.338,26.981,nan,nan,165,1
figlet,110,1.000,16.186,2392064.000,nan,3,0,401289418,shasum,20,1.000,2.772,7269034.667,nan,2,0,18647917,nmap,10,1.000,43.525,220136379.733,nan,1,0,14972066524,39.067,129.333,2039777280.000,2249159475.200,24.205,26.736,nan,nan,225,0
figlet,110,1.000,14.695,2523136.000,nan,2,0,288312865,shasum,20,1.000,2.623,2611882.667,nan,2,0,20458243,nmap,10,1.000,44.633,232998343.111,nan,1,0,17695880168,36.200,134.867,2054283264.000,2301250560.000,24.379,27.372,nan,nan,225,0
figlet,110,1.000,13.074,17423798.857,nan,2,0,400033169,shasum,20,1.000,2.293,2504192.000,nan,2,0,19271492,nmap,20,0.253,50.178,366900565.333,nan,1,1,28751081655,38.133,144.657,2027993088.000,2394016914.286,24.078,28.515,nan,nan,275,1
figlet,110,1.000,16.363,2555904.000,nan,2,0,1387308417,shasum,20,1.000,2.952,2404352.000,nan,2,0,24123821,nmap,20,0.255,36.814,264229819.733,nan,1,1,23419256458,35.667,130.880,2048782336.000,2346896998.400,24.330,27.947,nan,nan,250,1
figlet,110,1.000,15.118,2469888.000,nan,2,0,225063488,shasum,20,1.000,2.694,2478080.000,nan,2,0,22046422,nmap,20,0.138,44.134,291120173.511,nan,1,1,25705241873,37.867,137.411,2050250752.000,2390427306.667,24.377,28.489,nan,nan,255,1
figlet,110,1.000,17.490,2658304.000,nan,2,0,15476204,shasum,30,1.000,3.946,7099562.667,nan,2,0,11617505,nmap,0,1.000,0.058,8504661.333,nan,1,0,0,36.800,90.133,2042759168.000,2047841792.000,24.282,24.345,nan,nan,245,0
figlet,110,1.000,16.553,2396160.000,nan,2,0,13396759,shasum,30,1.000,3.794,7171754.667,nan,1,0,10930577,nmap,0,1.000,0.076,9800533.333,nan,1,0,0,43.067,89.533,2054645760.000,2060146688.000,24.430,24.497,nan,nan,255,0
figlet,110,1.000,17.301,15577088.000,nan,2,0,14771028,shasum,30,1.000,3.891,7572138.667,nan,2,0,11288881,nmap,0,1.000,0.070,7913642.667,nan,1,0,0,39.600,89.767,2052673536.000,2060400640.000,24.423,24.517,nan,nan,235,0
figlet,110,1.000,13.816,15737344.000,nan,1,0,127724448,shasum,30,1.000,3.574,6905344.000,nan,1,0,17367693,nmap,10,1.000,30.420,135996245.333,nan,1,0,15415002066,36.133,107.567,2049361920.000,2203314176.000,24.389,26.251,nan,nan,330,0
figlet,110,1.000,15.744,2736128.000,nan,2,0,245709480,shasum,30,1.000,4.065,2516992.000,nan,2,0,21917290,nmap,10,1.000,42.955,234991206.400,nan,1,0,15302381709,35.200,130.707,2055376896.000,2296620646.400,24.460,27.381,nan,nan,360,0
figlet,110,1.000,14.525,19287722.667,nan,3,0,268530534,shasum,30,1.000,3.580,2510848.000,nan,2,0,18175506,nmap,10,1.000,44.859,241770814.578,nan,1,0,16485256671,35.200,136.889,2050656256.000,2304494933.333,24.405,27.482,nan,nan,260,0
figlet,110,1.000,12.697,2986564.267,nan,2,0,1951671309,shasum,30,1.000,3.131,2640554.667,nan,2,0,25876214,nmap,20,0.228,56.181,377331565.714,nan,1,1,28024860149,36.400,143.466,2052308992.000,2406223286.857,24.442,28.739,nan,nan,305,1
