function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,60,1.000,10.767,5697058.133,nan,1,0,168105234,shasum,80,1.000,9.828,5885396.114,nan,1,0,748416503,env,40,1.000,5.421,4963157.333,nan,1,0,30170528,46.933,123.800,2402156544.000,2433797120.000,29.207,29.591,nan,nan,10,0
figlet,60,1.000,11.917,10558464.000,nan,1,0,177245311,shasum,80,1.000,11.142,18527061.333,nan,1,0,385693098,env,40,1.000,6.490,8780970.667,nan,1,0,30981617,51.933,117.650,2538981376.000,2541695488.000,30.894,30.928,nan,nan,85,0
figlet,60,1.000,10.934,10958165.333,nan,1,0,239453795,shasum,80,1.000,10.379,15803562.667,nan,1,0,467429744,env,40,1.000,6.243,8842752.000,nan,1,0,28267019,52.533,111.567,2541934592.000,2558624768.000,30.939,31.143,nan,nan,75,0
figlet,60,1.000,10.195,2823964.444,nan,1,0,63909759,shasum,80,1.000,9.624,2713736.533,nan,1,0,58579945,env,60,1.000,7.066,2838983.111,nan,1,0,25967211,50.400,110.219,2616143872.000,2604310528.000,31.867,31.717,nan,nan,45,0
figlet,60,1.000,10.702,11651703.467,nan,1,0,378249588,shasum,80,1.000,9.233,15825271.467,nan,1,0,727845332,env,60,1.000,7.157,2606165.333,nan,1,0,68692404,53.667,122.950,2618075136.000,2625817088.000,31.900,31.993,nan,nan,25,0
figlet,60,1.000,10.655,12661891.657,nan,1,0,294081791,shasum,80,1.000,8.891,16774875.429,nan,1,0,423844212,env,60,1.000,7.405,9260322.133,nan,1,0,83637646,54.200,120.500,2655340544.000,2652511744.000,32.371,32.336,nan,nan,30,0
figlet,60,1.000,5.899,17566105.600,nan,1,0,1944797541,shasum,80,1.000,6.145,27087530.667,nan,1,0,2357162074,env,80,1.000,5.624,2943112.533,nan,1,0,230333961,54.886,117.908,2683983872.000,2682066432.000,32.722,32.702,nan,nan,30,0
figlet,60,1.000,10.064,24670910.171,nan,1,0,47026155,shasum,80,1.000,10.014,29081190.400,nan,1,0,48473334,env,80,1.000,9.721,2875392.000,nan,1,0,31058389,47.800,116.950,2713796608.000,2666483712.000,33.108,32.537,nan,nan,70,0
figlet,60,1.000,10.476,17424486.400,nan,1,0,520050820,shasum,80,1.000,9.744,2766506.667,nan,1,0,689438690,env,80,1.000,8.222,10729216.000,nan,1,0,318986607,51.133,117.733,2652123136.000,2654425088.000,32.388,32.414,nan,nan,30,0
figlet,60,1.000,9.374,17424793.600,nan,1,0,341178327,shasum,80,1.000,8.562,2635980.800,nan,1,0,907476386,env,100,1.000,9.654,13146521.600,nan,1,0,1029917137,46.867,115.483,2700785664.000,2693851648.000,32.979,32.891,nan,nan,45,0
