function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,40,1.000,5.528,6981629.214,nan,2,0,37660960,shasum,80,1.000,7.887,8727330.482,nan,2,0,154942392,curl,60,0.323,15.723,19309441.219,nan,1,1,24809511305,37.733,129.695,2534103040.000,2651981238.857,30.110,31.582,nan,nan,10,1
figlet,40,1.000,6.852,8876359.680,nan,2,0,72169130,shasum,80,1.000,9.473,2396160.000,nan,2,0,294057396,curl,60,0.996,22.327,26003456.000,nan,3,0,16311476335,37.067,129.507,2799824896.000,2828879462.400,33.422,33.787,nan,nan,40,0
figlet,40,1.000,7.158,9410696.533,nan,2,0,40653750,shasum,80,1.000,9.006,13097369.600,nan,2,0,72996462,curl,60,0.549,21.715,2510848.000,nan,3,1,15865939911,37.133,132.547,2808561664.000,2868362854.400,33.526,34.264,nan,nan,85,1
figlet,40,1.000,7.084,9186645.333,nan,1,0,11506443,shasum,100,1.000,11.305,12502381.714,nan,1,0,11445504,curl,0,1.000,0.056,25657344.000,nan,1,0,0,39.067,84.833,2904952832.000,2848665088.000,34.415,33.728,nan,nan,75,0
figlet,40,1.000,6.546,2961408.000,nan,2,0,14801343,shasum,100,1.000,11.347,3616768.000,nan,2,0,16384201,curl,0,1.000,0.074,17117184.000,nan,1,0,0,39.667,86.483,2716301312.000,2713134080.000,32.128,32.092,nan,nan,180,0
figlet,40,1.000,5.933,9250474.667,nan,2,0,11232109,shasum,100,1.000,10.052,12119722.667,nan,2,0,10490310,curl,0,1.000,0.073,16740352.000,nan,1,0,0,40.133,77.283,2729480192.000,2725018112.000,32.288,32.235,nan,nan,75,0
figlet,40,1.000,5.690,9516373.333,nan,1,0,21512077,shasum,100,1.000,10.847,2793830.400,nan,1,0,50898449,curl,20,1.000,14.985,20805120.000,nan,1,0,494576468,39.467,109.017,2791321600.000,2788726784.000,33.050,33.014,nan,nan,40,0
figlet,40,1.000,6.502,9168042.667,nan,1,0,24096884,shasum,100,1.000,10.661,2818048.000,nan,1,0,124705966,curl,20,1.000,15.656,2813952.000,nan,2,0,526984312,37.200,102.400,2766575616.000,2775463936.000,32.742,32.849,nan,nan,60,0
figlet,40,1.000,6.300,9189034.667,nan,1,0,20459307,shasum,100,1.000,10.188,2580480.000,nan,1,0,27631020,curl,20,1.000,14.143,2723840.000,nan,1,0,466910725,37.333,109.800,2827511808.000,2811355136.000,33.480,33.286,nan,nan,55,0
figlet,40,1.000,6.495,9352069.120,nan,2,0,46836974,shasum,100,1.000,10.759,2854912.000,nan,2,0,364127652,curl,40,0.817,21.046,2920448.000,nan,3,1,9750857926,38.467,129.907,2781493248.000,2840491622.400,32.930,33.653,nan,nan,60,1
