function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,2.833,5126968.076,nan,2,0,16174842,shasum,40,1.000,4.714,6021763.657,nan,2,0,15618858,eat-memory,20,0.213,51.043,108156981.638,nan,1,1,8817089165,41.733,121.600,7052558336.000,7212577792.000,83.831,85.755,nan,nan,10,1
figlet,20,1.000,3.545,2685255.680,nan,2,0,20111720,shasum,40,1.000,5.339,2199552.000,nan,2,0,16730894,eat-memory,20,0.302,84.244,181676796.587,nan,1,1,9799291163,85.533,151.307,7289628672.000,7351182950.400,86.677,87.414,nan,nan,10,1
figlet,20,1.000,3.293,2914065.067,nan,1,0,16410795,shasum,40,1.000,4.721,2397769.143,nan,1,0,12755896,eat-memory,20,0.352,64.072,153080661.333,nan,1,1,7799496927,49.333,112.367,7208677376.000,7287458816.000,85.684,86.629,nan,nan,20,1
figlet,20,1.000,3.024,2919765.333,nan,1,0,8501862,shasum,60,1.000,6.470,10205184.000,nan,1,0,7039395,eat-memory,0,1.000,9.692,49059840.000,nan,1,0,0,56.267,73.050,7234875392.000,7233864704.000,86.004,85.992,nan,nan,20,0
figlet,20,1.000,4.925,2940928.000,nan,2,0,9819895,shasum,60,1.000,10.072,10184021.333,nan,2,0,7460282,eat-memory,0,1.000,0.050,28577450.667,nan,1,0,0,69.467,84.717,7213602816.000,7220498432.000,85.742,85.828,nan,nan,10,0
figlet,20,1.000,4.111,3872665.600,nan,3,0,8214677,shasum,60,1.000,9.030,10131387.733,nan,3,0,7014067,eat-memory,0,1.000,0.182,26505864.533,nan,1,0,0,62.179,82.898,7251163136.000,7266166272.000,86.206,86.391,nan,nan,15,0
figlet,20,1.000,4.547,4291730.286,nan,5,0,21211227,shasum,60,1.000,9.008,2607786.667,nan,5,0,15867530,eat-memory,20,0.140,55.036,150629861.669,nan,1,1,13068048388,69.951,143.126,7307720704.000,7458095923.200,86.909,88.732,nan,nan,15,1
figlet,20,1.000,3.502,7116090.027,nan,2,0,18819838,shasum,60,1.000,7.396,2742463.147,nan,2,0,22903423,eat-memory,20,0.198,66.556,185225489.067,nan,1,1,13152921508,79.467,143.000,7562598400.000,7583517491.200,89.971,90.217,nan,nan,15,1
figlet,20,1.000,3.460,2582528.000,nan,2,0,17040929,shasum,60,1.000,7.015,2766474.971,nan,2,0,16558311,eat-memory,20,0.158,58.234,174383634.530,nan,1,1,10744542747,38.800,131.653,7329732608.000,7435998003.200,87.118,88.396,nan,nan,25,1
figlet,20,1.000,3.208,2765004.800,nan,1,0,8460064,shasum,80,1.000,8.578,10530986.667,nan,1,0,6746696,eat-memory,0,1.000,10.904,50124117.333,nan,1,0,0,40.800,71.650,7328630784.000,7317959680.000,87.098,86.968,nan,nan,20,0
figlet,20,1.000,4.134,3454225.067,nan,2,0,9446025,shasum,80,1.000,11.072,4998451.200,nan,2,0,7787577,eat-memory,0,1.000,0.131,27762346.667,nan,1,0,0,69.600,85.100,7280764928.000,7276960768.000,86.512,86.471,nan,nan,15,0
figlet,20,1.000,4.659,4067236.978,nan,2,0,8442826,shasum,80,1.000,12.927,6232860.444,nan,2,0,6555630,eat-memory,0,1.000,0.059,27287552.000,nan,1,0,0,83.600,96.400,7258957824.000,7263278592.000,86.257,86.311,nan,nan,10,0
figlet,20,1.000,4.015,3342336.000,nan,2,0,22982355,shasum,80,1.000,12.205,8622708.053,nan,4,0,19878844,eat-memory,20,0.117,50.160,151230737.067,nan,1,1,13736528582,56.467,139.773,7289542656.000,7434335027.200,86.634,88.381,nan,nan,15,1
figlet,20,1.000,3.363,2570922.667,nan,2,0,20913601,shasum,80,1.000,8.037,8861286.400,nan,2,0,36383438,eat-memory,20,0.093,64.854,183122107.246,nan,1,1,14314985405,54.800,137.387,7500836864.000,7536900505.600,89.193,89.631,nan,nan,15,1
figlet,20,1.000,3.596,2679466.667,nan,2,0,19518994,shasum,80,1.000,9.205,2024789.333,nan,3,0,24374534,eat-memory,20,0.095,71.973,197453550.933,nan,1,1,13187492004,60.733,137.573,7479011328.000,7511490560.000,88.936,89.328,nan,nan,15,1
figlet,20,1.000,3.214,2757939.200,nan,1,0,11672151,shasum,100,1.000,10.901,2447769.600,nan,2,0,11083482,eat-memory,0,1.000,15.130,80295936.000,nan,1,0,0,71.116,93.491,7510788096.000,7428800512.000,89.287,88.302,nan,nan,15,0
figlet,20,1.000,4.247,3844778.667,nan,2,0,10052217,shasum,100,1.000,13.631,5199018.667,nan,3,0,8206119,eat-memory,0,1.000,0.055,36462592.000,nan,1,0,0,88.933,100.450,7344711680.000,7349126144.000,87.293,87.349,nan,nan,15,0
figlet,20,1.000,4.829,5356748.800,nan,2,0,11185876,shasum,100,1.000,15.996,8085048.889,nan,2,0,8477447,eat-memory,0,1.000,0.336,33332736.000,nan,1,0,0,87.800,106.783,7342962688.000,7335191040.000,87.270,87.176,nan,nan,10,0
figlet,20,1.000,4.420,7854899.200,nan,2,0,34472484,shasum,100,1.000,14.443,5755835.733,nan,4,0,36374095,eat-memory,20,0.072,43.517,145166117.547,nan,1,1,16405913360,59.333,141.053,7336617984.000,7479361536.000,87.199,88.896,nan,nan,15,1
figlet,20,1.000,3.511,3704900.267,nan,2,0,19287330,shasum,100,1.000,11.353,8652390.400,nan,2,0,24530068,eat-memory,20,0.080,62.623,200213708.800,nan,1,1,15520841259,82.333,142.813,7539200000.000,7563930828.800,89.369,89.673,nan,nan,15,1
figlet,20,1.000,3.737,2706363.733,nan,2,0,20307039,shasum,100,1.000,11.075,2592768.000,nan,2,0,62163719,eat-memory,20,0.052,48.831,154891776.975,nan,1,1,15938419776,41.800,131.413,7389646848.000,7480734924.800,87.583,88.674,nan,nan,25,1
figlet,20,1.000,3.247,9166677.333,nan,1,0,11091613,shasum,120,1.000,12.451,2791799.467,nan,1,0,8288804,eat-memory,0,1.000,20.206,84168021.333,nan,1,0,0,79.467,100.067,7547834368.000,7455532544.000,89.469,88.345,nan,nan,15,0
figlet,20,1.000,5.038,4912810.667,nan,2,0,11894839,shasum,120,1.000,19.126,6093482.667,nan,2,0,8166754,eat-memory,0,1.000,0.059,36446208.000,nan,1,0,0,82.867,109.100,7344496640.000,7345091072.000,86.988,86.999,nan,nan,10,0
figlet,20,1.000,4.533,3789687.467,nan,3,0,11628347,shasum,120,1.000,15.496,8745984.000,nan,3,0,7716574,eat-memory,0,1.000,0.255,35056298.667,nan,1,0,0,62.673,96.744,7360942080.000,7368279040.000,87.205,87.299,nan,nan,15,0
figlet,20,1.000,4.557,4131305.570,nan,5,0,24570470,shasum,120,1.000,16.852,2718378.667,nan,5,0,26044387,eat-memory,20,0.033,40.157,161320043.276,nan,1,1,19455176745,69.667,143.134,7388119040.000,7552306790.400,87.554,89.531,nan,nan,15,1
figlet,20,1.000,3.548,7295146.667,nan,2,0,24962417,shasum,120,1.000,12.793,2866517.333,nan,2,0,1201640546,eat-memory,20,0.035,37.703,161664341.333,nan,1,1,19039827216,55.228,132.865,7550183424.000,7610256179.200,89.525,90.236,nan,nan,25,1
figlet,20,1.000,3.566,2166784.000,nan,2,0,19951560,shasum,120,1.000,12.891,2420736.000,nan,2,0,180089562,eat-memory,20,0.060,52.258,162733943.467,nan,1,1,16663537722,49.000,137.653,7483920384.000,7556880793.600,88.693,89.580,nan,nan,20,1
figlet,20,1.000,3.444,2636424.533,nan,1,0,13716983,shasum,140,1.000,15.216,1540096.000,nan,2,0,41446487,eat-memory,0,1.000,14.957,79847765.333,nan,1,0,0,71.867,103.067,7579729920.000,7493608960.000,89.863,88.826,nan,nan,15,0
figlet,20,1.000,4.388,2727936.000,nan,2,0,13247259,shasum,140,1.000,19.001,5664000.000,nan,3,0,15613419,eat-memory,0,1.000,0.060,36757504.000,nan,1,0,0,92.667,115.118,7406614528.000,7409606656.000,87.780,87.817,nan,nan,15,0
figlet,20,1.000,3.257,2773196.800,nan,2,0,13954564,shasum,140,1.000,14.527,8577024.000,nan,1,0,21660184,eat-memory,0,1.000,0.233,31100537.905,nan,1,0,0,50.333,98.567,7382775808.000,7383149568.000,87.480,87.483,nan,nan,25,0
figlet,20,1.000,3.826,4261751.467,nan,3,0,30080883,shasum,140,1.000,17.066,10695896.178,nan,3,0,384028041,eat-memory,20,0.008,44.697,178021159.822,nan,1,1,20484902640,60.467,149.233,7382067200.000,7574663850.667,87.469,89.791,nan,nan,15,1
figlet,20,1.000,3.473,4335479.467,nan,2,0,22492957,shasum,140,1.000,13.723,3448832.000,nan,2,0,1239810259,eat-memory,20,0.028,49.648,180446208.000,nan,1,1,20081003656,53.333,143.800,7561574400.000,7662661290.667,89.664,90.876,nan,nan,25,1
figlet,20,1.000,3.758,2510165.333,nan,2,0,25420182,shasum,140,1.000,14.694,3503889.067,nan,2,0,790942829,eat-memory,20,0.037,38.997,155976155.916,nan,1,1,19585755853,50.533,134.200,7532826624.000,7609851494.400,89.274,90.208,nan,nan,20,1
