function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,38.533,38.533,7400019968.000,7400019968.000,87.413,87.413,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,37.333,37.333,7391944704.000,7391944704.000,87.335,87.335,nan,nan,25,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,37.333,37.333,7391944704.000,7391944704.000,87.335,87.335,nan,nan,10,0
figlet,0,1.000,0.055,3238400.000,nan,1,0,0,nmap,0,1.000,0.064,2947925.333,nan,1,0,0,env,20,1.000,2.564,9820160.000,nan,1,0,6717237,37.800,46.567,7382984704.000,7384026112.000,87.228,87.240,nan,nan,20,0
figlet,0,1.000,0.058,3478528.000,nan,1,0,0,nmap,0,1.000,0.056,3222869.333,nan,1,0,0,env,20,1.000,2.442,2910378.667,nan,1,0,6215114,40.200,46.133,7420020736.000,7411656192.000,87.683,87.579,nan,nan,45,0
figlet,0,1.000,0.055,3754325.333,nan,1,0,0,nmap,0,1.000,0.057,3424256.000,nan,1,0,0,env,20,1.000,2.213,2754304.000,nan,2,0,6623568,41.333,49.800,7423946752.000,7419965952.000,87.727,87.673,nan,nan,40,0
figlet,0,1.000,0.060,4845884.952,nan,1,0,0,nmap,0,1.000,0.055,3645269.333,nan,1,0,0,env,40,1.000,4.377,3538944.000,nan,2,0,6239979,41.733,56.967,7430572032.000,7431155200.000,87.797,87.801,nan,nan,30,0
figlet,0,1.000,0.058,5027669.333,nan,1,0,0,nmap,0,1.000,0.062,3826005.333,nan,1,0,0,env,40,1.000,4.564,4090197.333,nan,1,0,5834297,41.933,53.533,7429371904.000,7428063744.000,87.779,87.762,nan,nan,30,0
figlet,0,1.000,0.068,5330310.095,nan,1,0,0,nmap,0,1.000,0.058,4130816.000,nan,1,0,0,env,40,1.000,4.433,2871296.000,nan,2,0,5832612,40.133,53.500,7419654144.000,7421583360.000,87.651,87.675,nan,nan,70,0
figlet,0,1.000,0.060,6027434.667,nan,1,0,0,nmap,0,1.000,0.070,4427946.667,nan,1,0,0,env,60,1.000,6.872,2564096.000,nan,2,0,5782212,40.067,60.000,7439542272.000,7435490816.000,87.884,87.833,nan,nan,45,0
