function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,40.867,40.867,7449819136.000,7449819136.000,88.079,88.079,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,39.933,39.933,7335266304.000,7335266304.000,86.726,86.726,nan,nan,25,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,43.200,43.200,7337574400.000,7337574400.000,86.754,86.754,nan,nan,10,0
shasum,0,1.000,0.058,3283729.067,nan,1,0,0,env,0,1.000,0.063,3097770.667,nan,1,0,0,curl,20,0.880,16.440,23297536.000,nan,1,1,554175805,43.200,77.700,7337574400.000,7368516096.000,86.754,87.128,nan,nan,10,1
shasum,0,1.000,0.060,3501909.333,nan,1,0,0,env,0,1.000,0.060,3277824.000,nan,1,0,0,curl,20,1.000,20.523,2701141.333,nan,1,0,382404429,44.067,69.833,7421425664.000,7428841472.000,87.774,87.863,nan,nan,20,0
shasum,0,1.000,0.068,3695274.667,nan,1,0,0,env,0,1.000,0.055,3479381.333,nan,1,0,0,curl,20,1.000,17.493,2656768.000,nan,1,0,394301742,43.667,67.950,7459082240.000,7462414848.000,88.230,88.270,nan,nan,30,0
shasum,0,1.000,0.057,3867989.333,nan,1,0,0,env,0,1.000,0.059,3691861.333,nan,1,0,0,curl,40,1.000,29.096,2664106.667,nan,2,0,403575559,40.400,93.787,7468519424.000,7473996288.000,88.346,88.414,nan,nan,25,0
shasum,0,1.000,0.063,4042581.333,nan,1,0,0,env,0,1.000,0.053,3875737.600,nan,1,0,0,curl,40,0.877,32.701,2605056.000,nan,2,1,568169698,41.800,91.933,7470551040.000,7486157312.000,88.375,88.559,nan,nan,30,1
shasum,0,1.000,0.070,4199594.667,nan,1,0,0,env,0,1.000,0.061,4055210.667,nan,1,0,0,curl,40,1.000,30.600,2948130.133,nan,1,0,402064455,42.667,90.200,7539511296.000,7542516736.000,89.198,89.234,nan,nan,30,0
shasum,0,1.000,0.064,4361898.667,nan,1,0,0,env,0,1.000,0.060,4209152.000,nan,1,0,0,curl,60,1.000,39.247,2724147.200,nan,2,0,451347068,42.467,111.850,7525275648.000,7535336448.000,89.020,89.141,nan,nan,25,0
shasum,0,1.000,0.056,4566503.619,nan,1,0,0,env,0,1.000,0.062,4375108.267,nan,1,0,0,curl,60,0.828,34.218,2569776.762,nan,2,1,418616030,41.733,106.850,7526307840.000,7530150912.000,89.026,89.074,nan,nan,30,1
shasum,0,1.000,0.057,4743509.333,nan,1,0,0,env,0,1.000,0.057,4568234.667,nan,1,0,0,curl,60,0.908,37.488,13111296.000,nan,2,0,2682469547,40.467,110.002,7502438400.000,7549570560.000,88.746,89.304,nan,nan,30,0
shasum,0,1.000,0.072,9198592.000,nan,1,0,0,env,0,1.000,0.062,4823210.667,nan,1,0,0,curl,80,0.899,42.101,9050282.667,nan,1,1,4206813409,45.800,113.935,7654236160.000,7690077184.000,90.586,91.010,nan,nan,20,1
shasum,0,1.000,0.061,8270677.333,nan,1,0,0,env,0,1.000,0.061,4908544.000,nan,1,0,0,curl,80,0.793,42.108,83437397.333,nan,1,1,3299123868,37.667,105.800,7664195584.000,7664639488.000,90.685,90.698,nan,nan,25,1
shasum,0,1.000,0.065,7123173.181,nan,1,0,0,env,0,1.000,0.057,4871748.267,nan,1,0,0,curl,80,0.787,37.564,33680042.667,nan,2,1,3222345795,47.533,118.433,7685888000.000,7680611840.000,90.949,90.890,nan,nan,35,1
shasum,0,1.000,0.052,6552576.000,nan,1,0,0,env,20,1.000,2.549,8943274.667,nan,1,0,7610803,curl,0,1.000,4.168,55254186.667,nan,1,0,0,43.804,58.519,7686672384.000,7692521472.000,90.977,91.045,nan,nan,20,1
shasum,0,1.000,0.055,6553122.133,nan,1,0,0,env,20,1.000,2.446,13978862.933,nan,2,0,6744309,curl,0,1.000,0.053,50450432.000,nan,1,0,0,46.267,54.817,7663222784.000,7651780608.000,90.659,90.522,nan,nan,30,1
shasum,0,1.000,0.069,6852608.000,nan,1,0,0,env,20,1.000,2.588,14144170.667,nan,1,0,6034957,curl,0,1.000,0.070,40327850.667,nan,1,0,0,40.133,48.417,7541882880.000,7535862272.000,89.204,89.131,nan,nan,30,0
shasum,20,1.000,2.422,8443733.333,nan,1,0,6986712,env,0,1.000,0.091,13889536.000,nan,1,0,0,curl,0,1.000,0.065,40341504.000,nan,1,0,0,39.800,48.550,7540670464.000,7529314304.000,89.189,89.052,nan,nan,30,0
shasum,20,1.000,2.438,9971370.667,nan,2,0,7649959,env,0,1.000,0.055,13889877.333,nan,1,0,0,curl,0,1.000,0.065,29760238.933,nan,1,0,0,38.667,50.333,7483424768.000,7482783232.000,88.502,88.493,nan,nan,25,0
shasum,20,1.000,2.693,10035336.533,nan,2,0,7095692,env,0,1.000,0.054,12918784.000,nan,1,0,0,curl,0,1.000,0.062,29844616.533,nan,1,0,0,39.133,50.950,7487481856.000,7489869312.000,88.550,88.579,nan,nan,30,0
shasum,20,1.000,2.558,9927680.000,nan,1,0,7028853,env,0,1.000,0.060,12832597.333,nan,1,0,0,curl,20,0.880,17.764,38890154.667,nan,1,1,553507087,47.333,78.490,7493126144.000,7499688960.000,88.622,88.702,nan,nan,30,1
shasum,20,1.000,2.510,9906858.667,nan,1,0,6989014,env,0,1.000,0.060,10829824.000,nan,1,0,0,curl,20,1.000,18.024,3329877.333,nan,1,0,389128980,39.803,74.302,7522738176.000,7528071168.000,88.998,89.060,nan,nan,30,0
shasum,20,1.000,2.305,9931093.333,nan,2,0,9442319,env,0,1.000,0.061,10821632.000,nan,1,0,0,curl,20,1.000,16.396,42049706.667,nan,2,0,397961835,39.333,79.300,7530825728.000,7528465920.000,89.096,89.062,nan,nan,40,0
shasum,20,1.000,2.477,9926314.667,nan,2,0,13987086,env,0,1.000,0.055,10725161.448,nan,1,0,0,curl,40,1.000,30.446,46231469.105,nan,2,0,469819104,43.000,98.333,7553013760.000,7563158016.000,89.365,89.476,nan,nan,30,0
shasum,20,1.000,2.494,10062506.667,nan,1,0,11121527,env,0,1.000,0.069,10665301.333,nan,1,0,0,curl,40,1.000,29.533,3142144.000,nan,1,0,414349851,41.133,94.136,7551262720.000,7553966592.000,89.313,89.345,nan,nan,30,0
shasum,20,1.000,2.274,10175829.333,nan,2,0,12475058,env,0,1.000,0.065,10715136.000,nan,1,0,0,curl,40,1.000,30.093,46865481.143,nan,2,0,417494233,43.467,100.667,7547338752.000,7547731456.000,89.271,89.271,nan,nan,40,0
shasum,20,1.000,2.822,10219520.000,nan,2,0,21236429,env,0,1.000,0.058,10671274.667,nan,1,0,0,curl,60,0.894,36.415,14540800.000,nan,2,1,2563746543,44.964,113.447,7545602048.000,7596819968.000,89.250,89.863,nan,nan,30,1
shasum,20,1.000,2.709,10478592.000,nan,1,0,15853454,env,0,1.000,0.059,10380970.667,nan,1,0,0,curl,60,1.000,38.966,13895680.000,nan,2,0,729570941,43.867,111.001,7656437760.000,7649275392.000,90.589,90.500,nan,nan,40,1
shasum,20,1.000,2.499,10382677.333,nan,1,0,16464777,env,0,1.000,0.064,10308949.333,nan,1,0,0,curl,60,0.897,35.036,10091008.000,nan,1,1,1100716826,47.867,109.517,7625203712.000,7642604544.000,90.227,90.436,nan,nan,30,1
shasum,20,1.000,2.625,10446940.648,nan,2,0,7359534,env,20,1.000,2.136,11803711.390,nan,2,0,7642689,curl,0,1.000,0.095,3003050.667,nan,1,0,0,41.867,58.217,7603978240.000,7598352896.000,89.978,89.910,nan,nan,25,0
shasum,20,1.000,2.681,10658645.333,nan,1,0,6681597,env,20,1.000,2.453,13606741.333,nan,1,0,5766882,curl,0,1.000,0.060,36278272.000,nan,1,0,0,42.021,56.289,7598002176.000,7589082624.000,89.899,89.790,nan,nan,30,0
shasum,20,1.000,2.633,10467328.000,nan,1,0,8309238,env,20,1.000,2.347,13679104.000,nan,1,0,7064966,curl,0,1.000,0.055,34467840.000,nan,1,0,0,42.533,55.633,7531429888.000,7523068416.000,89.099,88.992,nan,nan,45,0
shasum,20,1.000,2.335,10538666.667,nan,1,0,9484386,env,20,1.000,2.412,2777224.533,nan,1,0,6892995,curl,20,1.000,16.621,38428672.000,nan,1,0,397482741,40.333,77.450,7527000064.000,7523219456.000,89.046,88.994,nan,nan,45,0
shasum,20,1.000,2.242,10538837.333,nan,2,0,9052120,env,20,1.000,2.314,13577045.333,nan,1,0,10083307,curl,20,1.000,16.191,2842555.733,nan,2,0,414265290,44.533,87.319,7548999680.000,7536411136.000,89.320,89.160,nan,nan,40,0
