function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,37.000,37.000,7567921152.000,7567921152.000,89.294,89.294,nan,nan,10,0
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,37.000,37.000,7567921152.000,7567921152.000,89.294,89.294,nan,nan,10,0
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,38.200,38.200,7568515072.000,7568515072.000,89.304,89.304,nan,nan,15,0
nmap,0,1.000,0.063,11525622.248,nan,1,0,0,env,0,1.000,0.056,3060477.562,nan,1,0,0,curl,20,1.000,16.993,10034005.333,nan,1,0,394325661,38.200,72.750,7568515072.000,7575304704.000,89.304,89.386,nan,nan,10,0
nmap,0,1.000,0.060,11688618.667,nan,1,0,0,env,0,1.000,0.059,3247957.333,nan,1,0,0,curl,20,1.000,19.897,14493525.333,nan,1,0,392448342,39.333,66.367,7607040000.000,7609763328.000,89.778,89.811,nan,nan,20,0
nmap,0,1.000,0.065,11893760.000,nan,1,0,0,env,0,1.000,0.057,3459584.000,nan,1,0,0,curl,20,1.000,17.250,2549777.067,nan,1,0,385720071,40.867,65.683,7600992256.000,7606248448.000,89.703,89.766,nan,nan,30,0
nmap,0,1.000,0.057,12011178.667,nan,1,0,0,env,0,1.000,0.069,3686351.238,nan,1,0,0,curl,40,0.761,28.240,29702997.333,nan,2,1,734749236,39.533,95.183,7621236736.000,7650602496.000,89.950,90.294,nan,nan,25,1
nmap,0,1.000,0.056,11696469.333,nan,1,0,0,env,0,1.000,0.064,4038144.000,nan,1,0,0,curl,40,1.000,31.048,3180168.533,nan,1,0,400191521,39.600,86.617,7699445760.000,7698530304.000,90.872,90.862,nan,nan,30,1
nmap,0,1.000,0.066,11751082.667,nan,1,0,0,env,0,1.000,0.061,5016068.876,nan,1,0,0,curl,40,1.000,29.288,26759850.667,nan,2,0,405469108,41.933,94.850,7684096000.000,7690491392.000,90.694,90.773,nan,nan,25,1
nmap,0,1.000,0.063,11908354.438,nan,1,0,0,env,20,1.000,2.537,8098201.600,nan,2,0,6782311,curl,0,1.000,0.105,17869141.333,nan,1,0,0,40.133,50.933,7695300608.000,7695536128.000,90.842,90.844,nan,nan,30,1
nmap,0,1.000,0.071,11526826.667,nan,1,0,0,env,20,1.000,2.521,11945301.333,nan,1,0,6483835,curl,0,1.000,0.060,17563648.000,nan,1,0,0,40.000,47.833,7689975808.000,7683691520.000,90.799,90.722,nan,nan,30,1
nmap,0,1.000,0.064,11663394.133,nan,1,0,0,env,20,1.000,2.492,11802380.190,nan,2,0,6491526,curl,0,1.000,0.065,16150528.000,nan,1,0,0,40.200,50.233,7631544320.000,7632017920.000,90.095,90.101,nan,nan,25,1
nmap,20,0.947,81.017,272769670.908,nan,2,0,15448243524,env,0,1.000,0.131,11115029.130,nan,1,0,0,curl,0,1.000,0.115,16322247.924,nan,1,0,0,39.933,139.333,7612325888.000,7804353536.000,89.865,92.235,nan,nan,30,1
nmap,20,0.772,70.632,342501376.000,nan,2,1,16255308165,env,0,1.000,0.064,8282942.346,nan,1,0,0,curl,0,1.000,0.079,14992140.190,nan,1,0,0,39.667,138.067,7551610880.000,7781970505.143,89.310,92.107,nan,nan,75,1
nmap,20,0.992,78.085,145541120.000,nan,1,0,13548588230,env,0,1.000,0.067,7433147.733,nan,1,0,0,curl,0,1.000,0.107,12373469.867,nan,1,0,0,41.933,135.747,7468042240.000,7733783756.800,88.341,91.545,nan,nan,70,1
