function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,37.267,37.267,7426840576.000,7426840576.000,87.825,87.825,nan,nan,10,0
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,41.709,41.709,7412961280.000,7412961280.000,87.658,87.658,nan,nan,10,0
nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,40.800,40.800,7433172992.000,7433172992.000,87.900,87.900,nan,nan,25,0
nmap,0,1.000,0.077,3828565.333,nan,1,0,0,env,0,1.000,0.068,6261930.667,nan,1,0,0,eat-memory,20,1.000,63.281,2654208.000,nan,2,0,1273526241,40.800,115.567,7433172992.000,7496165888.000,87.900,88.650,nan,nan,10,0
nmap,0,1.000,0.068,7249237.333,nan,1,0,0,env,0,1.000,0.077,6457514.667,nan,1,0,0,eat-memory,20,1.000,54.625,2973696.000,nan,2,0,1259754066,39.733,107.550,7423193088.000,7472449536.000,87.772,88.366,nan,nan,45,0
nmap,0,1.000,0.061,8528042.667,nan,1,0,0,env,0,1.000,0.072,9370453.333,nan,1,0,0,eat-memory,20,1.000,66.120,6064128.000,nan,1,0,1107465956,41.067,98.983,7430174720.000,7470050304.000,87.854,88.334,nan,nan,45,0
nmap,0,1.000,0.062,7729493.333,nan,1,0,0,env,0,1.000,0.058,9374151.111,nan,1,0,0,eat-memory,40,0.126,98.617,2809856.000,nan,1,1,18636029125,37.600,137.167,7437553664.000,7636801877.333,87.944,90.359,nan,nan,45,1
nmap,0,1.000,0.064,6938237.156,nan,1,0,0,env,0,1.000,0.062,8330717.867,nan,1,0,0,eat-memory,40,0.099,97.800,214305353.143,nan,1,1,18301446712,40.267,143.756,7529752576.000,7691079680.000,89.107,91.053,nan,nan,25,1
nmap,0,1.000,0.056,6719374.222,nan,1,0,0,env,0,1.000,0.063,7745204.419,nan,1,0,0,eat-memory,40,0.126,95.717,217757705.752,nan,1,1,18878144610,37.467,142.333,7547994112.000,7693382656.000,89.355,91.080,nan,nan,30,1
nmap,0,1.000,0.072,6640810.667,nan,1,0,0,env,20,1.000,2.594,11769002.667,nan,1,0,6483023,eat-memory,0,1.000,0.055,57532416.000,nan,1,0,0,40.267,47.650,7543263232.000,7532280832.000,89.313,89.180,nan,nan,30,0
nmap,0,1.000,0.061,6988970.667,nan,1,0,0,env,20,1.000,2.569,16378026.667,nan,1,0,6576880,eat-memory,0,1.000,0.068,41140224.000,nan,1,0,0,37.267,46.200,7488579584.000,7479272448.000,88.637,88.524,nan,nan,75,0
nmap,0,1.000,0.070,7285589.333,nan,1,0,0,env,20,1.000,2.541,16333994.667,nan,1,0,6562844,eat-memory,0,1.000,0.379,34304000.000,nan,1,0,0,40.200,48.783,7471235072.000,7464861184.000,88.433,88.353,nan,nan,45,0
nmap,0,1.000,0.065,7431996.952,nan,1,0,0,env,20,1.000,2.642,16341308.952,nan,2,0,12921750,eat-memory,20,0.998,64.901,87685939.200,nan,2,0,1514045522,42.733,112.450,7476887552.000,7531454464.000,88.524,89.155,nan,nan,25,0
nmap,0,1.000,0.061,7325013.333,nan,1,0,0,env,20,1.000,2.298,15695291.733,nan,2,0,13109755,eat-memory,20,0.998,61.579,6445452.597,nan,2,0,2346276682,42.667,116.283,7494432768.000,7556242432.000,88.666,89.398,nan,nan,25,0
nmap,0,1.000,0.079,9859754.667,nan,1,0,0,env,20,1.000,2.429,15542545.067,nan,2,0,13319403,eat-memory,20,1.000,60.261,5857792.000,nan,2,0,2452327652,41.533,116.633,7503904768.000,7564389376.000,88.759,89.484,nan,nan,25,0
nmap,0,1.000,0.073,9547971.048,nan,1,0,0,env,20,1.000,2.135,15411200.000,nan,2,0,14014979,eat-memory,40,0.059,95.112,6674363.733,nan,1,1,21344013447,42.067,153.752,7500156928.000,7710953764.571,88.714,91.259,nan,nan,25,1
nmap,0,1.000,0.090,7308531.810,nan,1,0,0,env,20,1.000,2.141,14851705.905,nan,2,0,12819280,eat-memory,40,0.083,102.126,230306084.571,nan,1,1,20826720625,42.667,149.876,7555041280.000,7725511241.143,89.354,91.414,nan,nan,75,1
nmap,0,1.000,0.077,6117877.551,nan,1,0,0,env,20,1.000,2.064,13213807.456,nan,2,0,12833627,eat-memory,40,0.076,91.986,229710701.714,nan,1,1,21435855812,41.488,151.787,7582607360.000,7724654299.429,89.710,91.431,nan,nan,40,1
nmap,0,1.000,0.062,7709354.667,nan,1,0,0,env,40,1.000,4.689,12704768.000,nan,1,0,5996336,eat-memory,0,1.000,0.059,57238186.667,nan,1,0,0,42.733,54.383,7575306240.000,7553310720.000,89.627,89.357,nan,nan,45,0
nmap,0,1.000,0.074,7728128.000,nan,1,0,0,env,40,1.000,4.298,13161813.333,nan,2,0,6133960,eat-memory,0,1.000,0.068,44331008.000,nan,1,0,0,39.933,55.850,7472308224.000,7473738240.000,88.381,88.395,nan,nan,40,0
nmap,0,1.000,0.056,7782297.600,nan,1,0,0,env,40,1.000,4.225,13119180.800,nan,2,0,6072670,eat-memory,0,1.000,0.069,44331008.000,nan,1,0,0,38.533,55.133,7473885184.000,7471045632.000,88.396,88.361,nan,nan,30,0
nmap,0,1.000,0.072,7780864.000,nan,1,0,0,env,40,1.000,4.928,2900850.590,nan,2,0,13351116,eat-memory,20,0.612,64.213,134214656.000,nan,1,1,5764758777,40.267,112.483,7456821248.000,7540544512.000,88.189,89.194,nan,nan,30,1
nmap,0,1.000,0.064,6733312.000,nan,1,0,0,env,40,1.000,4.930,13373610.667,nan,2,0,11656175,eat-memory,20,0.947,70.808,129682944.000,nan,1,0,2933785698,40.733,111.317,7488155648.000,7551460864.000,88.567,89.332,nan,nan,20,0
nmap,0,1.000,0.066,7406006.857,nan,1,0,0,env,40,1.000,4.160,13518457.905,nan,2,0,12487810,eat-memory,20,0.953,57.214,107124667.733,nan,2,0,2893781105,40.733,116.117,7484266496.000,7559669248.000,88.530,89.437,nan,nan,65,0
nmap,0,1.000,0.064,6884400.762,nan,1,0,0,env,40,1.000,4.159,13145624.381,nan,2,0,12506442,eat-memory,40,0.069,94.639,235358305.524,nan,1,1,21971383931,39.133,147.314,7486545920.000,7708986806.857,88.544,91.230,nan,nan,70,1
nmap,0,1.000,0.065,7562191.238,nan,1,0,0,env,40,1.000,3.832,12421802.667,nan,2,0,12440661,eat-memory,40,0.048,95.542,243918945.524,nan,1,1,21862976517,41.667,148.657,7570628608.000,7743661787.429,89.566,91.666,nan,nan,55,1
nmap,0,1.000,0.144,7948522.057,nan,1,0,0,env,40,1.000,4.062,7264256.000,nan,2,0,14154621,eat-memory,40,0.061,97.250,231210715.429,nan,1,1,21292024963,39.800,147.943,7492755456.000,7673174308.571,88.639,90.818,nan,nan,130,1
nmap,0,1.000,0.054,7723212.800,nan,1,0,0,env,60,1.000,6.187,13900702.476,nan,2,0,10465138,eat-memory,0,1.000,0.103,47474005.333,nan,1,0,0,38.333,60.133,7512842240.000,7486289920.000,88.886,88.567,nan,nan,85,0
nmap,0,1.000,0.058,7796687.238,nan,1,0,0,env,60,1.000,6.551,15482880.000,nan,2,0,5752399,eat-memory,0,1.000,0.069,29732181.333,nan,1,0,0,39.000,59.917,7445708800.000,7449484288.000,88.084,88.128,nan,nan,30,0
nmap,0,1.000,0.076,7755434.667,nan,1,0,0,env,60,1.000,6.928,15346858.667,nan,2,0,5936224,eat-memory,0,1.000,0.072,29766485.333,nan,1,0,0,40.400,62.183,7450474496.000,7453158400.000,88.138,88.170,nan,nan,30,0
nmap,0,1.000,0.070,7642282.667,nan,1,0,0,env,60,1.000,6.575,15301461.333,nan,1,0,12781298,eat-memory,20,0.395,56.189,132048042.667,nan,1,1,7164972716,41.733,108.950,7463391232.000,7560609792.000,88.293,89.448,nan,nan,30,1
nmap,0,1.000,0.063,6995694.933,nan,1,0,0,env,60,1.000,6.995,15202577.067,nan,3,0,13379731,eat-memory,20,0.340,67.219,6557696.000,nan,2,1,8160852221,37.333,133.573,7494434816.000,7608261017.600,88.654,90.013,nan,nan,30,1
nmap,0,1.000,0.073,7009348.267,nan,1,0,0,env,60,1.000,7.426,2921557.333,nan,3,0,13596583,eat-memory,20,0.273,70.090,176961945.600,nan,1,1,8956407521,42.600,130.800,7491706880.000,7595658444.800,88.620,89.865,nan,nan,35,1
nmap,0,1.000,0.053,6732629.333,nan,1,0,0,env,80,1.000,8.335,15300096.000,nan,1,0,6199091,eat-memory,0,1.000,8.461,59671210.667,nan,1,0,0,40.933,66.050,7508090880.000,7498853376.000,88.816,88.705,nan,nan,20,0
nmap,0,1.000,0.071,6715392.000,nan,1,0,0,env,80,1.000,8.586,15024128.000,nan,2,0,6139132,eat-memory,0,1.000,0.060,39191893.333,nan,1,0,0,42.800,70.483,7480881152.000,7472208384.000,88.484,88.379,nan,nan,25,0
nmap,0,1.000,0.063,6635446.857,nan,1,0,0,env,80,1.000,7.959,15176362.667,nan,2,0,6198536,eat-memory,0,1.000,0.062,32709290.667,nan,1,0,0,40.400,67.500,7452106752.000,7454202368.000,88.138,88.162,nan,nan,30,0
nmap,0,1.000,0.062,6673164.190,nan,1,0,0,env,80,1.000,9.594,15250227.200,nan,2,0,14218219,eat-memory,20,0.182,66.187,182336580.267,nan,1,1,11243811476,40.533,130.547,7459469312.000,7576648089.600,88.225,89.630,nan,nan,30,1
nmap,0,1.000,0.063,6543360.000,nan,1,0,0,env,80,1.000,8.879,15393041.067,nan,2,0,12810960,eat-memory,20,0.275,61.458,157440273.067,nan,1,1,10036875251,40.400,132.800,7485622272.000,7589295308.800,88.529,89.783,nan,nan,60,1
nmap,0,1.000,0.066,6377608.533,nan,1,0,0,env,80,1.000,9.559,15117789.867,nan,2,0,12878526,eat-memory,20,0.242,73.194,187333427.200,nan,1,1,9554981864,40.267,127.240,7507281920.000,7629688422.400,88.782,90.259,nan,nan,20,1
nmap,0,1.000,0.074,6457051.429,nan,1,0,0,env,100,1.000,10.058,15307264.000,nan,2,0,6420549,eat-memory,0,1.000,0.057,38825984.000,nan,1,0,0,41.067,74.217,7521552384.000,7516060160.000,88.977,88.908,nan,nan,30,0
nmap,0,1.000,0.055,6508202.667,nan,1,0,0,env,100,1.000,10.920,15407957.333,nan,2,0,7054209,eat-memory,0,1.000,0.222,37881309.867,nan,1,0,0,40.400,74.217,7498592256.000,7492506112.000,88.696,88.622,nan,nan,30,0
nmap,0,1.000,0.067,6514688.000,nan,1,0,0,env,100,1.000,11.095,3133440.000,nan,2,0,6514988,eat-memory,0,1.000,0.068,32157696.000,nan,1,0,0,39.533,71.317,7492816896.000,7494453248.000,88.621,88.640,nan,nan,30,0
nmap,0,1.000,0.059,6485060.267,nan,1,0,0,env,100,1.000,11.227,5475068.587,nan,2,0,16106326,eat-memory,20,0.130,61.767,165225813.333,nan,1,1,11547162526,40.267,127.947,7497306112.000,7632259891.200,88.674,90.282,nan,nan,30,1
nmap,0,1.000,0.060,6191650.133,nan,1,0,0,env,100,1.000,11.596,2788010.667,nan,2,0,15410062,eat-memory,20,0.145,61.991,177968878.933,nan,1,1,12075784191,38.733,128.613,7535132672.000,7642615808.000,89.120,90.406,nan,nan,60,1
nmap,0,1.000,0.059,6231006.842,nan,1,0,0,env,100,1.000,11.073,6098090.667,nan,2,0,15891816,eat-memory,20,0.143,59.133,162453995.520,nan,1,1,12128569914,41.267,131.000,7551866880.000,7652298342.400,89.327,90.534,nan,nan,30,1
nmap,0,1.000,0.069,6293162.667,nan,1,0,0,env,120,1.000,11.261,15566019.048,nan,2,0,6642813,eat-memory,0,1.000,0.055,38789383.314,nan,1,0,0,39.267,77.183,7552143360.000,7533169664.000,89.215,88.986,nan,nan,60,0
nmap,0,1.000,0.072,6551074.133,nan,1,0,0,env,120,1.000,13.259,15348189.867,nan,2,0,7939643,eat-memory,0,1.000,0.160,34647283.810,nan,1,0,0,38.533,77.117,7508901888.000,7506686976.000,88.701,88.674,nan,nan,30,0
nmap,0,1.000,0.077,6559061.333,nan,1,0,0,env,120,1.000,12.931,3514368.000,nan,2,0,7361792,eat-memory,0,1.000,0.069,34078720.000,nan,1,0,0,40.067,75.651,7504351232.000,7504300544.000,88.644,88.643,nan,nan,30,0
nmap,0,1.000,0.065,6509226.667,nan,1,0,0,env,120,1.000,13.092,6607557.973,nan,2,0,23640313,eat-memory,20,0.105,54.168,160161382.400,nan,1,1,14004473117,41.333,127.267,7505076224.000,7631790489.600,88.653,90.171,nan,nan,30,1
nmap,0,1.000,0.079,6675598.385,nan,1,0,0,env,120,1.000,13.117,15303311.360,nan,2,0,45638435,eat-memory,20,0.080,51.214,177660493.044,nan,1,1,15628469652,39.867,132.321,7551641600.000,7665773772.800,89.226,90.610,nan,nan,25,1
nmap,0,1.000,0.060,6813286.400,nan,1,0,0,env,120,1.000,13.236,15141000.533,nan,2,0,18061618,eat-memory,20,0.103,55.173,160353757.867,nan,1,1,13251386467,42.400,127.307,7537328128.000,7626135552.000,89.106,90.177,nan,nan,60,1
nmap,0,1.000,0.068,6555306.667,nan,1,0,0,env,140,1.000,13.265,15164928.000,nan,2,0,8384900,eat-memory,0,1.000,1.164,49261275.429,nan,1,0,0,40.133,84.217,7538077696.000,7523904512.000,89.120,88.948,nan,nan,25,0
nmap,0,1.000,0.094,6696686.933,nan,1,0,0,env,140,1.000,13.519,2674117.486,nan,2,0,7365325,eat-memory,0,1.000,0.241,37846571.886,nan,1,0,0,40.467,82.867,7502866432.000,7495972352.000,88.694,88.609,nan,nan,45,0
nmap,0,1.000,0.059,6786633.143,nan,1,0,0,env,140,1.000,13.958,2572288.000,nan,2,0,7626349,eat-memory,0,1.000,0.074,34136064.000,nan,1,0,0,42.267,82.667,7479250944.000,7480033792.000,88.409,88.418,nan,nan,30,0
nmap,0,1.000,0.083,6932343.467,nan,1,0,0,env,140,1.000,14.827,2858898.773,nan,2,0,161416972,eat-memory,20,0.058,48.255,167215377.067,nan,1,1,16298461358,42.267,129.800,7504889856.000,7628030361.600,88.717,90.197,nan,nan,30,1
nmap,0,1.000,0.075,6975175.924,nan,1,0,0,env,140,1.000,13.522,17732793.295,nan,2,0,74275541,eat-memory,20,0.045,48.060,150129174.430,nan,1,1,15667654513,41.867,131.933,7571369984.000,7656473804.800,89.560,90.566,nan,nan,55,1
nmap,0,1.000,0.079,6699281.067,nan,1,0,0,env,140,1.000,14.613,16378948.267,nan,2,0,25777090,eat-memory,20,0.082,50.835,172676573.867,nan,1,1,14737155285,40.400,125.947,7542628352.000,7640593203.200,89.197,90.378,nan,nan,60,1
nmap,0,1.000,0.059,6391856.762,nan,1,0,0,env,160,1.000,16.006,7309056.000,nan,2,0,9350047,eat-memory,0,1.000,0.055,37449728.000,nan,1,0,0,41.667,88.950,7534080000.000,7521228288.000,89.095,88.938,nan,nan,25,0
nmap,0,1.000,0.064,6612650.667,nan,1,0,0,env,160,1.000,16.996,3069576.533,nan,2,0,10194924,eat-memory,0,1.000,0.064,37449728.000,nan,1,0,0,40.600,86.333,7500064768.000,7493603328.000,88.686,88.606,nan,nan,30,0
nmap,0,1.000,0.052,7106560.000,nan,1,0,0,env,160,1.000,16.547,2596864.000,nan,2,0,8633964,eat-memory,0,1.000,0.067,28785322.667,nan,1,0,0,42.667,85.400,7471200256.000,7475482624.000,88.336,88.386,nan,nan,30,0
nmap,0,1.000,0.061,7070242.133,nan,1,0,0,env,160,1.000,15.890,4555898.880,nan,2,0,151200136,eat-memory,20,0.047,43.531,154855014.400,nan,1,1,17371949143,40.400,126.667,7480799232.000,7607894425.600,88.450,89.974,nan,nan,30,1
nmap,0,1.000,0.078,6667332.267,nan,1,0,0,env,160,1.000,15.461,16194355.200,nan,2,0,69319931,eat-memory,20,0.055,45.877,160993826.133,nan,1,1,16897460729,41.133,125.627,7549911040.000,7632567091.200,89.300,90.292,nan,nan,55,1
nmap,0,1.000,0.065,7258794.667,nan,1,0,0,env,160,1.000,15.862,16181384.533,nan,2,0,102212563,eat-memory,20,0.048,45.129,173234722.133,nan,1,1,17479336912,41.133,127.853,7551547392.000,7649545011.200,89.316,90.494,nan,nan,25,1
nmap,0,1.000,0.063,6852949.333,nan,1,0,0,env,180,1.000,18.604,6934528.000,nan,2,0,9830038,eat-memory,0,1.000,0.052,42681002.667,nan,1,0,0,38.067,87.183,7536564224.000,7508781568.000,89.151,88.814,nan,nan,55,0
nmap,0,1.000,0.062,6905002.667,nan,1,0,0,env,180,1.000,17.869,15742122.667,nan,1,0,9545152,eat-memory,0,1.000,0.132,36301482.667,nan,1,0,0,40.467,86.667,7471276032.000,7470244352.000,88.363,88.349,nan,nan,30,0
nmap,0,1.000,0.060,6989824.000,nan,1,0,0,env,180,1.000,17.855,15799978.667,nan,2,0,10041061,eat-memory,0,1.000,0.070,35721216.000,nan,1,0,0,42.446,95.523,7474724864.000,7471518208.000,88.399,88.361,nan,nan,25,0
nmap,0,1.000,0.062,6896526.222,nan,1,0,0,env,180,1.000,15.905,21425860.673,nan,2,0,870497446,eat-memory,20,0.027,46.228,157480361.854,nan,1,1,19769186730,41.133,144.256,7461543936.000,7628105386.667,88.240,90.253,nan,nan,30,1
nmap,0,1.000,0.063,6526839.467,nan,1,0,0,env,180,1.000,17.127,27137092.267,nan,2,0,831506497,eat-memory,20,0.027,40.792,161357687.467,nan,1,1,18940176155,41.667,128.773,7589269504.000,7662128332.800,89.797,90.682,nan,nan,25,1
nmap,0,1.000,0.060,7759439.644,nan,1,0,0,env,180,1.000,16.805,27475945.244,nan,2,0,675903491,eat-memory,20,0.022,45.797,164970496.000,nan,1,1,20285124402,39.600,144.178,7711162368.000,7794088960.000,91.235,92.238,nan,nan,95,1
nmap,0,1.000,0.066,8216185.905,nan,1,0,0,env,200,1.000,19.293,22904295.619,nan,1,0,16098748,eat-memory,0,1.000,0.063,39193887.695,nan,1,0,0,40.267,97.433,7542738944.000,7509842432.000,89.251,88.854,nan,nan,80,0
nmap,0,1.000,0.060,8226133.333,nan,1,0,0,env,200,1.000,21.299,17857877.333,nan,2,0,21548141,eat-memory,0,1.000,0.173,29499801.600,nan,1,0,0,40.800,96.450,7441539072.000,7443479552.000,88.038,88.061,nan,nan,30,0
nmap,0,1.000,0.062,8272384.000,nan,1,0,0,env,200,1.000,20.800,17987584.000,nan,2,0,53809911,eat-memory,0,1.000,0.075,29098154.667,nan,1,0,0,39.933,94.933,7446601728.000,7456199168.000,88.097,88.208,nan,nan,30,0
nmap,0,1.000,0.081,6531982.222,nan,1,0,0,env,200,0.990,18.863,51358037.333,nan,2,0,13900204417,eat-memory,20,0.028,31.377,158753336.889,nan,1,1,22380511062,39.933,139.300,7472861184.000,7746647040.000,88.389,91.738,nan,nan,45,1
nmap,0,1.000,0.100,6194375.227,nan,1,0,0,env,200,1.000,18.629,5441024.000,nan,2,0,11818692822,eat-memory,20,0.005,40.196,142037908.724,nan,1,1,25725663160,42.000,152.467,7849646080.000,7911795858.286,92.886,93.740,nan,nan,105,1
nmap,0,1.000,0.075,6879675.037,nan,1,0,0,env,200,1.000,16.593,50190692.659,nan,2,0,7171613649,eat-memory,20,0.020,47.935,177310891.363,nan,1,1,25069818365,42.600,151.733,7613327360.000,7774069321.143,90.085,92.085,nan,nan,115,1
nmap,20,0.995,85.269,263603869.013,nan,2,0,11921757671,env,0,1.000,0.070,4875695.055,nan,1,0,0,eat-memory,0,1.000,0.057,25996863.390,nan,1,0,0,41.133,133.120,7422558208.000,7673301811.200,87.802,90.828,nan,nan,115,1
nmap,20,0.998,74.671,215826022.400,nan,2,0,11979534884,env,0,1.000,0.061,4430927.970,nan,1,0,0,eat-memory,0,1.000,0.068,19912075.947,nan,1,0,0,41.200,133.800,7365427200.000,7600825139.200,87.103,89.941,nan,nan,70,0
nmap,20,0.980,84.120,283679291.211,nan,1,0,11644692099,env,0,1.000,0.066,4561188.571,nan,1,0,0,eat-memory,0,1.000,0.071,18211676.996,nan,1,0,0,41.467,130.648,7369312256.000,7624064438.857,87.165,90.224,nan,nan,70,1
