function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,43.733,43.733,7588636672.000,7588636672.000,89.708,89.708,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,38.133,38.133,7394422784.000,7394422784.000,87.373,87.373,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,38.133,38.133,7394422784.000,7394422784.000,87.373,87.373,nan,nan,10,0
figlet,0,1.000,0.058,5510826.667,nan,1,0,0,nmap,0,1.000,0.065,4650427.733,nan,1,0,0,curl,20,1.000,17.158,13474474.667,nan,1,0,392182737,40.091,70.979,7373064192.000,7367177216.000,87.116,87.046,nan,nan,20,0
figlet,0,1.000,0.055,5796864.000,nan,1,0,0,nmap,0,1.000,0.068,4902058.667,nan,1,0,0,curl,20,1.000,18.092,18900480.000,nan,1,0,392004546,40.133,67.250,7310088192.000,7318188544.000,86.370,86.466,nan,nan,30,0
figlet,0,1.000,0.059,5993642.667,nan,1,0,0,nmap,0,1.000,0.069,5097813.333,nan,1,0,0,curl,20,1.000,17.351,19438592.000,nan,3,0,397352666,41.667,82.417,7348885504.000,7359832576.000,86.861,86.996,nan,nan,25,0
figlet,0,1.000,0.073,9323042.133,nan,1,0,0,nmap,0,1.000,0.081,6711744.610,nan,1,0,0,curl,40,0.716,27.717,20811361.524,nan,2,1,432158538,43.867,95.367,7480213504.000,7503555584.000,88.441,88.726,nan,nan,45,1
figlet,0,1.000,0.069,9432234.667,nan,1,0,0,nmap,0,1.000,0.065,7417173.333,nan,1,0,0,curl,40,0.753,31.645,36671829.333,nan,1,1,732836817,46.533,96.117,7466674176.000,7500291072.000,88.291,88.696,nan,nan,30,1
figlet,0,1.000,0.065,9309184.000,nan,1,0,0,nmap,0,1.000,0.059,7549869.105,nan,1,0,0,curl,40,0.878,29.904,34705237.333,nan,1,1,557370407,43.200,88.533,7552610304.000,7563125248.000,89.331,89.453,nan,nan,30,1
figlet,0,1.000,0.081,6959195.022,nan,1,0,0,nmap,20,0.978,82.945,89645056.000,nan,2,0,15469297432,curl,0,1.000,1.297,3103709.867,nan,1,0,0,43.800,145.000,7526873088.000,7805071018.667,89.021,92.356,nan,nan,25,1
figlet,0,1.000,0.098,3860362.971,nan,1,0,0,nmap,20,0.983,75.114,281549885.765,nan,2,0,16996274912,curl,0,1.000,0.104,14661056.610,nan,1,0,0,43.067,143.667,7469539328.000,7599789738.667,88.333,89.890,nan,nan,65,0
figlet,0,1.000,0.052,4141707.459,nan,1,0,0,nmap,20,1.000,82.449,13740032.000,nan,2,0,12434764616,curl,0,1.000,0.102,12962595.596,nan,1,0,0,42.600,134.320,7393921024.000,7585844428.800,87.416,89.725,nan,nan,30,0
figlet,0,1.000,0.068,4105202.347,nan,1,0,0,nmap,20,0.520,51.049,246475298.133,nan,1,1,21552269108,curl,20,1.000,15.526,24976452.267,nan,2,0,484798701,41.067,133.800,7388346368.000,7663562752.000,87.363,90.660,nan,nan,40,1
figlet,0,1.000,0.063,3747937.524,nan,1,0,0,nmap,20,0.515,53.437,2777088.000,nan,2,1,25363238503,curl,20,1.000,13.337,9218375.680,nan,3,0,485653658,45.733,144.019,7396792320.000,7640396068.571,87.450,90.376,nan,nan,25,1
