function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,39.867,39.867,7397709824.000,7397709824.000,87.420,87.420,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,40.800,40.800,7404384256.000,7404384256.000,87.503,87.503,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,40.800,40.800,7404384256.000,7404384256.000,87.503,87.503,nan,nan,10,0
figlet,0,1.000,0.069,7440554.667,nan,1,0,0,nmap,0,1.000,0.066,6348800.000,nan,1,0,0,eat-memory,20,1.000,60.242,71978666.667,nan,1,0,1131524037,40.200,96.900,7403999232.000,7432631296.000,87.498,87.840,nan,nan,20,0
figlet,0,1.000,0.064,7678156.800,nan,1,0,0,nmap,0,1.000,0.051,6438824.229,nan,1,0,0,eat-memory,20,1.000,59.117,2543616.000,nan,1,0,1107655458,42.400,102.083,7294709760.000,7331015168.000,86.180,86.618,nan,nan,40,0
figlet,0,1.000,0.056,7920640.000,nan,1,0,0,nmap,0,1.000,0.063,6687061.333,nan,1,0,0,eat-memory,20,1.000,64.527,2818048.000,nan,1,0,1131834214,39.533,96.967,7290204160.000,7332937216.000,86.124,86.639,nan,nan,45,0
figlet,0,1.000,0.066,8408271.586,nan,1,0,0,nmap,0,1.000,0.073,8341462.204,nan,1,0,0,eat-memory,40,0.095,102.962,2677418.667,nan,1,1,19423844461,39.467,151.971,7303641088.000,7533201115.429,86.284,89.035,nan,nan,40,1
figlet,0,1.000,0.060,8058684.952,nan,1,0,0,nmap,0,1.000,0.072,10071088.762,nan,1,0,0,eat-memory,40,0.105,110.988,242350762.667,nan,1,1,19344053184,44.267,151.305,7441584128.000,7625949184.000,87.908,90.121,nan,nan,30,1
figlet,0,1.000,0.070,7685948.952,nan,1,0,0,nmap,0,1.000,0.071,9834886.095,nan,1,0,0,eat-memory,40,0.126,107.571,239897648.762,nan,1,1,19283415262,42.733,148.962,7457929216.000,7627974948.571,88.106,90.159,nan,nan,30,1
figlet,0,1.000,0.068,7339758.933,nan,1,0,0,nmap,20,0.998,85.006,263268488.533,nan,1,0,12649207426,eat-memory,0,1.000,1.763,67965747.200,nan,1,0,0,43.333,136.560,7486246912.000,7711392153.600,88.460,91.180,nan,nan,25,1
figlet,0,1.000,0.067,5649408.000,nan,1,0,0,nmap,20,0.997,88.217,318868593.778,nan,2,0,14456187568,eat-memory,0,1.000,0.151,34346894.222,nan,1,0,0,43.267,140.922,7421388800.000,7696978602.667,87.750,91.087,nan,nan,45,1
