function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,43.000,43.000,7572017152.000,7572017152.000,89.490,89.490,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,40.333,40.333,7481188352.000,7481188352.000,88.409,88.409,nan,nan,25,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,40.333,42.133,7481188352.000,7487864832.000,88.529,88.489,nan,nan,10,0
figlet,0,1.000,0.060,10683343.238,nan,1,0,0,env,0,1.000,0.059,11610794.667,nan,1,0,0,curl,20,1.000,16.443,21056170.667,nan,1,0,402590358,42.133,81.667,7487864832.000,7483436032.000,88.489,88.437,nan,nan,10,0
figlet,0,1.000,0.065,10904112.762,nan,1,0,0,env,0,1.000,0.055,11801331.810,nan,1,0,0,curl,20,1.000,17.045,28592571.733,nan,2,0,400862787,44.933,72.917,7390203904.000,7399513600.000,87.317,87.430,nan,nan,20,0
figlet,0,1.000,0.069,11100842.667,nan,1,0,0,env,0,1.000,0.064,12085248.000,nan,1,0,0,curl,20,1.000,18.592,28908544.000,nan,1,0,398307936,42.800,71.667,7405950976.000,7403147776.000,87.519,87.483,nan,nan,30,0
figlet,0,1.000,0.064,11312981.333,nan,1,0,0,env,0,1.000,0.057,12322133.333,nan,1,0,0,curl,40,1.000,30.323,34230101.333,nan,1,0,402094284,43.600,88.250,7388583936.000,7395041792.000,87.290,87.369,nan,nan,30,0
figlet,0,1.000,0.067,11485866.667,nan,1,0,0,env,0,1.000,0.055,12502016.000,nan,1,0,0,curl,40,1.000,30.263,37252403.200,nan,2,0,407218771,42.933,94.817,7405641728.000,7415664128.000,87.500,87.620,nan,nan,25,0
figlet,0,1.000,0.063,11715106.133,nan,1,0,0,env,0,1.000,0.065,12643913.143,nan,1,0,0,curl,40,1.000,32.819,36412245.333,nan,2,0,408765499,41.267,94.417,7415986176.000,7431773184.000,87.622,87.811,nan,nan,30,0
figlet,0,1.000,0.070,12200106.667,nan,1,0,0,env,0,1.000,0.055,12791125.333,nan,1,0,0,curl,60,1.000,37.829,41283584.000,nan,1,0,457199840,41.733,101.700,7443169280.000,7453757952.000,87.941,88.065,nan,nan,30,0
figlet,0,1.000,0.063,12146926.933,nan,1,0,0,env,0,1.000,0.055,12868242.286,nan,1,0,0,curl,60,0.784,37.097,43983018.667,nan,2,1,746602312,40.533,110.817,7450484736.000,7472690176.000,88.029,88.294,nan,nan,25,1
figlet,0,1.000,0.060,10836650.667,nan,1,0,0,env,0,1.000,0.063,12114602.667,nan,1,0,0,curl,60,1.000,39.869,48934912.000,nan,2,0,472233407,40.600,105.367,7530719232.000,7534938112.000,89.010,89.060,nan,nan,30,0
figlet,0,1.000,0.062,10962944.000,nan,1,0,0,env,0,1.000,0.055,12157610.667,nan,1,0,0,curl,80,1.000,40.812,60030634.667,nan,1,0,2566927129,39.533,106.650,7507869696.000,7537804800.000,88.741,89.100,nan,nan,30,0
figlet,0,1.000,0.064,10550101.333,nan,1,0,0,env,0,1.000,0.056,11195733.333,nan,1,0,0,curl,80,1.000,43.466,70591317.333,nan,1,0,2539214289,43.067,110.800,7586891776.000,7596409344.000,89.695,89.812,nan,nan,25,0
figlet,0,1.000,0.064,10407009.524,nan,1,0,0,env,0,1.000,0.053,11020331.886,nan,1,0,0,curl,80,1.000,44.778,2672298.667,nan,2,0,2152899275,44.333,114.867,7585558528.000,7589031424.000,89.683,89.725,nan,nan,25,0
figlet,0,1.000,0.066,9604983.467,nan,1,0,0,env,0,1.000,0.069,10445365.638,nan,1,0,0,curl,100,1.000,44.055,102193834.667,nan,2,0,12553778873,42.600,132.973,7585931264.000,7663573811.200,89.682,90.627,nan,nan,25,1
figlet,0,1.000,0.063,7790045.867,nan,1,0,0,env,0,1.000,0.064,8314825.387,nan,1,0,0,curl,100,0.999,45.513,90669056.000,nan,2,0,12099607425,40.533,126.054,7699214336.000,7736941772.800,91.093,91.544,nan,nan,30,1
figlet,0,1.000,0.082,9445649.067,nan,1,0,0,env,0,1.000,0.062,8927282.712,nan,1,0,0,curl,100,0.999,45.112,55595963.733,nan,2,0,11073600320,43.067,133.187,7759089664.000,7763439206.400,91.791,91.848,nan,nan,40,1
figlet,0,1.000,0.055,8127556.267,nan,1,0,0,env,20,1.000,2.690,11193685.333,nan,1,0,6149092,curl,0,1.000,0.084,25150771.200,nan,1,0,0,42.667,50.750,7735601152.000,7713392640.000,91.541,91.272,nan,nan,30,1
figlet,0,1.000,0.055,7786496.000,nan,1,0,0,env,20,1.000,2.536,4991232.000,nan,1,0,6247948,curl,0,1.000,0.064,24838656.000,nan,1,0,0,47.128,51.199,7623710720.000,7596598784.000,90.142,89.815,nan,nan,30,0
figlet,0,1.000,0.058,7890261.333,nan,1,0,0,env,20,1.000,2.455,15020202.667,nan,1,0,6465630,curl,0,1.000,0.058,17596416.000,nan,1,0,0,48.867,53.883,7519254528.000,7492675584.000,88.881,88.561,nan,nan,30,0
figlet,0,1.000,0.062,7907328.000,nan,1,0,0,env,20,1.000,2.514,2765277.867,nan,2,0,7864561,curl,20,1.000,15.921,22468096.000,nan,2,0,403704042,44.267,80.117,7440064512.000,7446914048.000,87.926,88.009,nan,nan,25,0
figlet,0,1.000,0.056,7994709.333,nan,1,0,0,env,20,1.000,2.661,2760704.000,nan,2,0,9573912,curl,20,1.000,16.652,2801152.000,nan,1,0,402116365,46.267,79.333,7458271232.000,7465058304.000,88.154,88.234,nan,nan,30,0
figlet,0,1.000,0.056,8055125.333,nan,1,0,0,env,20,1.000,2.545,2804974.933,nan,1,0,7003403,curl,20,1.000,17.493,2859383.467,nan,1,0,399434883,43.267,77.500,7477696512.000,7479062016.000,88.396,88.409,nan,nan,30,0
figlet,0,1.000,0.061,8102741.333,nan,1,0,0,env,20,1.000,2.398,2853536.914,nan,2,0,12358562,curl,40,1.000,28.747,2843511.467,nan,2,0,417724609,48.533,104.433,7461083136.000,7474997248.000,88.203,88.372,nan,nan,25,0
