function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,37.200,37.200,7568072704.000,7568072704.000,89.264,89.264,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,41.600,41.600,7574929408.000,7574929408.000,89.297,89.297,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,41.600,41.600,7574929408.000,7574929408.000,89.297,89.297,nan,nan,10,0
figlet,0,1.000,0.053,3966976.000,nan,1,0,0,env,0,1.000,0.060,5676714.667,nan,1,0,0,eat-memory,20,1.000,59.360,70094336.000,nan,1,0,1113690958,38.800,95.517,7580803072.000,7614354432.000,89.320,89.733,nan,nan,20,0
figlet,0,1.000,0.062,4229319.924,nan,1,0,0,env,0,1.000,0.068,6034432.000,nan,1,0,0,eat-memory,20,1.000,57.439,2746368.000,nan,2,0,1137385798,39.800,104.234,7552372736.000,7589398016.000,89.016,89.458,nan,nan,40,0
figlet,0,1.000,0.061,4899498.667,nan,1,0,0,env,0,1.000,0.072,7083690.667,nan,1,0,0,eat-memory,20,1.000,64.669,3101923.556,nan,1,0,1111729305,40.133,99.050,7573903360.000,7613179392.000,89.279,89.755,nan,nan,30,0
figlet,0,1.000,0.068,7573458.489,nan,1,0,0,env,0,1.000,0.079,8133176.889,nan,1,0,0,eat-memory,40,0.110,95.790,2831018.667,nan,1,1,18810698097,38.133,144.978,7569747968.000,7754926421.333,89.244,91.554,nan,nan,40,1
figlet,0,1.000,0.058,6379861.333,nan,1,0,0,env,0,1.000,0.059,5800504.889,nan,1,0,0,eat-memory,40,0.105,101.113,220668472.889,nan,1,1,18564161022,43.958,141.664,7672393728.000,7809188864.000,90.728,92.372,nan,nan,45,1
figlet,0,1.000,0.054,5569731.048,nan,1,0,0,env,0,1.000,0.065,5141861.587,nan,1,0,0,eat-memory,40,0.093,97.459,233413814.044,nan,1,1,18131151389,37.933,143.378,7640223744.000,7798809258.667,90.390,92.301,nan,nan,25,1
figlet,0,1.000,0.053,5595136.000,nan,1,0,0,env,20,1.000,2.670,10308846.933,nan,1,0,6582563,eat-memory,0,1.000,0.056,46952448.000,nan,1,0,0,36.933,48.267,7634036736.000,7634562560.000,90.334,90.340,nan,nan,30,1
