function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,40.000,40.000,7620198400.000,7620198400.000,90.166,90.166,nan,nan,10,1
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,38.467,38.467,7509852160.000,7509852160.000,88.865,88.865,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,41.200,41.200,7509243904.000,7509243904.000,88.858,88.858,nan,nan,10,0
figlet,0,1.000,0.067,3028650.667,nan,1,0,0,curl,0,1.000,0.066,11188770.133,nan,1,0,0,eat-memory,20,1.000,56.235,52463616.000,nan,1,0,1101393321,41.200,113.333,7509243904.000,7580931584.000,88.858,89.728,nan,nan,10,0
figlet,0,1.000,0.056,3307520.000,nan,1,0,0,curl,0,1.000,0.060,11444565.333,nan,1,0,0,eat-memory,20,1.000,63.522,2828288.000,nan,1,0,1101312112,43.133,98.067,7507181568.000,7528613888.000,88.845,89.103,nan,nan,35,0
figlet,0,1.000,0.059,3563081.143,nan,1,0,0,curl,0,1.000,0.060,11590997.333,nan,1,0,0,eat-memory,20,1.000,56.821,2514944.000,nan,2,0,1174051530,44.933,107.752,7473954816.000,7503236608.000,88.454,88.792,nan,nan,25,0
figlet,0,1.000,0.088,5073692.444,nan,1,0,0,curl,0,1.000,0.064,11142030.222,nan,1,0,0,eat-memory,40,0.125,102.902,5699584.000,nan,1,1,18627570958,37.667,140.323,7444140032.000,7630471168.000,88.055,90.304,nan,nan,45,1
figlet,0,1.000,0.070,8216462.222,nan,1,0,0,curl,0,1.000,0.062,8997205.333,nan,1,0,0,eat-memory,40,0.103,98.905,216604899.556,nan,1,1,18037094156,41.667,138.889,7567454208.000,7710251690.667,89.566,91.284,nan,nan,30,1
figlet,0,1.000,0.066,7882865.778,nan,1,0,0,curl,0,1.000,0.058,7441066.667,nan,1,0,0,eat-memory,40,0.117,99.906,217862599.111,nan,1,1,18080505073,42.000,138.844,7583344640.000,7719089834.667,89.774,91.394,nan,nan,30,1
figlet,0,1.000,0.073,7423658.667,nan,1,0,0,curl,20,1.000,16.582,18495146.667,nan,1,0,390015438,eat-memory,0,1.000,0.051,58179584.000,nan,1,0,0,38.200,65.467,7571417088.000,7574109696.000,89.635,89.668,nan,nan,30,0
figlet,0,1.000,0.064,7761578.667,nan,1,0,0,curl,20,1.000,16.054,4553386.667,nan,2,0,390931744,eat-memory,0,1.000,0.478,45220966.400,nan,1,0,0,43.800,72.683,7527393280.000,7514893312.000,89.108,88.956,nan,nan,40,0
figlet,0,1.000,0.057,8110665.143,nan,1,0,0,curl,20,1.000,17.644,27802862.933,nan,1,0,388797429,eat-memory,0,1.000,0.060,38981632.000,nan,1,0,0,42.467,70.250,7505000448.000,7516672512.000,88.839,88.979,nan,nan,30,0
figlet,0,1.000,0.066,7915246.933,nan,1,0,0,curl,20,0.828,16.207,27999709.867,nan,2,1,375567908,eat-memory,20,0.158,65.125,162309734.400,nan,1,1,9875642432,41.400,128.600,7505420288.000,7617462272.000,88.843,90.165,nan,nan,45,1
figlet,0,1.000,0.069,6854090.362,nan,1,0,0,curl,20,1.000,16.073,5310976.000,nan,2,0,450724918,eat-memory,20,0.130,59.180,158786764.800,nan,1,1,11956564103,39.667,131.227,7548893184.000,7672662835.200,89.312,90.791,nan,nan,30,1
figlet,0,1.000,0.083,8069872.884,nan,1,0,0,curl,20,1.000,16.649,4096682.667,nan,2,0,439142890,eat-memory,20,0.118,57.254,166550966.857,nan,1,1,12791315370,41.467,132.373,7549982720.000,7662525235.200,89.322,90.669,nan,nan,30,1
figlet,0,1.000,0.060,9531591.924,nan,1,0,0,curl,40,0.879,27.736,9732181.333,nan,2,1,564186034,eat-memory,0,1.000,0.061,39059456.000,nan,1,0,0,45.267,97.150,7568744448.000,7582128128.000,89.549,89.711,nan,nan,30,1
figlet,0,1.000,0.081,8079701.333,nan,1,0,0,curl,40,1.000,32.899,34026325.333,nan,2,0,400122374,eat-memory,0,1.000,0.246,37724160.000,nan,1,0,0,44.000,92.800,7613757440.000,7618123264.000,90.102,90.154,nan,nan,30,1
figlet,0,1.000,0.055,7624533.333,nan,1,0,0,curl,40,0.889,30.207,37630464.000,nan,1,1,583783194,eat-memory,0,1.000,0.060,30964736.000,nan,1,0,0,42.400,90.517,7610208256.000,7624070144.000,90.066,90.219,nan,nan,45,1
figlet,20,1.000,3.100,10300245.333,nan,2,0,7961659,curl,0,1.000,1.569,28939605.333,nan,1,0,0,eat-memory,0,1.000,0.209,28857344.000,nan,1,0,0,38.067,50.167,7602628608.000,7603604992.000,89.951,89.963,nan,nan,25,0
figlet,20,1.000,3.139,14605585.067,nan,1,0,7583312,curl,0,1.000,0.056,28221440.000,nan,1,0,0,eat-memory,0,1.000,0.065,25944064.000,nan,1,0,0,40.000,50.700,7601410048.000,7600839168.000,89.940,89.933,nan,nan,30,0
figlet,20,1.000,3.338,14632789.333,nan,1,0,7703989,curl,0,1.000,0.068,27312128.000,nan,1,0,0,eat-memory,0,1.000,0.072,25944064.000,nan,1,0,0,39.000,48.000,7582251008.000,7559093760.000,89.734,89.454,nan,nan,30,0
figlet,20,1.000,3.209,14501819.733,nan,1,0,12798205,curl,0,1.000,0.067,26924544.000,nan,1,0,0,eat-memory,20,1.000,63.102,88031232.000,nan,1,0,1326166755,38.133,102.533,7515838464.000,7563561984.000,88.937,89.498,nan,nan,45,0
figlet,20,1.000,3.249,14509095.010,nan,2,0,14722533,curl,0,1.000,0.053,24816810.667,nan,1,0,0,eat-memory,20,1.000,59.851,6549504.000,nan,1,0,1922566258,39.933,112.767,7514101760.000,7590410240.000,88.897,89.809,nan,nan,40,0
figlet,20,1.000,3.277,14507485.867,nan,1,0,13922205,curl,0,1.000,0.081,22566741.333,nan,1,0,0,eat-memory,20,1.000,62.207,118414677.333,nan,1,0,2489583248,43.933,107.520,7533047808.000,7590646272.000,89.131,89.816,nan,nan,45,0
figlet,20,1.000,2.827,14162226.503,nan,2,0,17355025,curl,0,1.000,0.074,20125403.429,nan,1,0,0,eat-memory,40,0.069,99.143,214533500.343,nan,1,1,21637842938,40.867,150.600,7511990272.000,7735383478.857,88.868,91.571,nan,nan,40,1
figlet,20,1.000,2.903,13158009.905,nan,2,0,16140524,curl,0,1.000,0.066,16902366.912,nan,1,0,0,eat-memory,40,0.066,97.833,232292449.524,nan,1,1,21350759977,45.467,154.352,7590479872.000,7762756169.143,89.814,91.895,nan,nan,25,1
figlet,20,1.000,2.796,12864755.810,nan,2,0,14524540,curl,0,1.000,0.059,18002212.571,nan,1,0,0,eat-memory,40,0.072,98.719,238872283.429,nan,1,1,21069135018,41.133,148.238,7594074112.000,7736862134.857,89.860,91.574,nan,nan,45,1
figlet,20,1.000,3.188,11984091.429,nan,2,0,10952429,curl,20,1.000,16.439,26947223.162,nan,2,0,401136004,eat-memory,0,1.000,0.052,61431808.000,nan,1,0,0,41.200,77.017,7561410560.000,7544043520.000,89.479,89.268,nan,nan,40,0
figlet,20,1.000,3.329,12155221.333,nan,1,0,8742047,curl,20,0.693,17.977,34038442.667,nan,1,1,498496630,eat-memory,0,1.000,0.069,46437034.667,nan,1,0,0,40.333,76.633,7491667968.000,7493199872.000,88.646,88.660,nan,nan,45,1
figlet,20,1.000,3.083,12196010.667,nan,2,0,10169705,curl,20,0.877,16.008,35458491.733,nan,2,1,559424447,eat-memory,0,1.000,0.307,44368554.667,nan,1,0,0,40.467,80.700,7535128576.000,7535933440.000,89.173,89.172,nan,nan,40,1
figlet,40,1.000,6.845,12303189.333,nan,2,0,7763393,curl,0,1.000,0.100,30105600.000,nan,1,0,0,eat-memory,0,1.000,0.060,28390263.467,nan,1,0,0,41.933,61.026,7529342976.000,7527973888.000,89.091,89.073,nan,nan,30,0
figlet,40,1.000,6.639,12303530.667,nan,1,0,7635943,curl,0,1.000,0.072,29761536.000,nan,1,0,0,eat-memory,0,1.000,0.094,28521130.667,nan,1,0,0,45.867,58.683,7502790656.000,7493862912.000,88.761,88.651,nan,nan,45,0
figlet,40,1.000,6.437,12155016.533,nan,2,0,7614771,curl,0,1.000,0.054,28729344.000,nan,1,0,0,eat-memory,0,1.000,0.065,28603157.943,nan,1,0,0,44.867,60.550,7492759552.000,7490908160.000,88.665,88.642,nan,nan,25,0
figlet,40,1.000,5.373,12285440.000,nan,2,0,15890175,curl,0,1.000,0.070,27381296.762,nan,1,0,0,eat-memory,20,0.497,53.818,120418035.810,nan,1,1,6544152367,42.933,115.633,7472076800.000,7564331008.000,88.418,89.517,nan,nan,30,1
figlet,40,1.000,7.059,12819797.333,nan,2,0,15394976,curl,0,1.000,0.050,21059754.667,nan,1,0,0,eat-memory,20,0.463,62.837,140147029.333,nan,1,1,7556574965,41.267,113.167,7489437696.000,7582492160.000,88.612,89.724,nan,nan,35,1
figlet,40,1.000,6.393,12747605.333,nan,2,0,14245052,curl,0,1.000,0.071,18425002.667,nan,1,0,0,eat-memory,20,0.570,70.993,154033664.000,nan,1,1,5454246912,42.533,110.500,7499241472.000,7572198912.000,88.724,89.604,nan,nan,20,1
figlet,40,1.000,6.521,13067946.667,nan,2,0,10861863,curl,20,1.000,18.063,27787605.333,nan,1,0,402197643,eat-memory,0,1.000,0.050,34955264.000,nan,1,0,0,41.867,82.900,7489245184.000,7492796416.000,88.615,88.655,nan,nan,35,0
figlet,40,1.000,6.058,13153109.333,nan,1,0,10004402,curl,20,1.000,17.352,33099605.333,nan,1,0,396226399,eat-memory,0,1.000,0.115,34554538.667,nan,1,0,0,42.667,82.588,7513847808.000,7510317056.000,88.924,88.879,nan,nan,30,0
figlet,40,1.000,6.129,13073920.000,nan,2,0,11839247,curl,20,1.000,16.131,33421994.667,nan,2,0,411146843,eat-memory,0,1.000,0.054,30142464.000,nan,1,0,0,40.667,86.517,7498022912.000,7495453184.000,88.724,88.688,nan,nan,40,0
figlet,40,1.000,7.259,13096179.810,nan,3,0,32777061,curl,20,1.000,16.352,32685998.080,nan,2,0,570119149,eat-memory,20,0.033,46.168,168259775.147,nan,1,1,18048269290,41.000,130.920,7502139392.000,7641048678.400,88.777,90.437,nan,nan,30,1
figlet,40,1.000,6.728,13434333.867,nan,2,0,18966937,curl,20,1.000,15.263,30776251.733,nan,2,0,459139491,eat-memory,20,0.057,48.542,156399206.400,nan,1,1,15817765757,44.733,129.533,7538991104.000,7651215360.000,89.204,90.542,nan,nan,55,1
figlet,40,1.000,6.996,13481028.267,nan,3,0,22680658,curl,20,1.000,15.663,30081024.000,nan,2,0,524603305,eat-memory,20,0.045,44.513,170695475.200,nan,1,1,17217247222,42.200,129.827,7569629184.000,7683190784.000,89.574,90.923,nan,nan,25,1
figlet,40,1.000,6.784,13358762.667,nan,2,0,14356855,curl,40,1.000,29.179,33747114.667,nan,1,0,431310196,eat-memory,0,1.000,0.056,42426368.000,nan,1,0,0,40.800,99.400,7549759488.000,7537694720.000,89.318,89.172,nan,nan,55,0
figlet,40,1.000,6.232,13627733.333,nan,1,0,16767431,curl,40,0.831,27.967,32475136.000,nan,1,1,412934672,eat-memory,0,1.000,0.273,34425514.667,nan,1,0,0,44.267,99.067,7539027968.000,7539212288.000,89.218,89.218,nan,nan,30,1
figlet,40,1.000,6.400,13452726.857,nan,1,0,17125263,curl,40,1.000,26.416,33578837.333,nan,2,0,510459698,eat-memory,0,1.000,0.054,32825344.000,nan,1,0,0,43.200,107.900,7532619776.000,7539848192.000,89.134,89.215,nan,nan,40,0
figlet,40,1.000,4.612,6316032.000,nan,2,0,206272036,curl,40,0.997,19.527,54576752.152,nan,3,0,11677617279,eat-memory,20,0.008,38.413,199998124.060,nan,1,1,27100263452,41.133,150.629,7527407616.000,7786767213.714,89.069,92.187,nan,nan,30,1
figlet,40,1.000,6.461,13440910.222,nan,3,0,39157964,curl,40,1.000,21.308,19767296.000,nan,2,0,7554411550,eat-memory,20,0.010,39.490,183283712.000,nan,1,1,25136443711,44.892,142.886,7614904320.000,7733210112.000,90.129,91.546,nan,nan,55,1
figlet,40,1.000,6.058,13642374.908,nan,2,0,34350981,curl,40,0.998,19.709,40369519.340,nan,2,0,8384751235,eat-memory,20,0.010,31.887,179997718.756,nan,1,1,26792272361,42.867,145.223,7591176192.000,7723101184.000,89.865,91.447,nan,nan,55,1
figlet,40,1.000,6.329,13156352.000,nan,1,0,18394184,curl,60,1.000,36.017,45066410.667,nan,1,0,726954257,eat-memory,0,1.000,0.053,47779840.000,nan,1,0,0,40.600,109.000,7598995456.000,7565827584.000,89.949,89.538,nan,nan,45,0
figlet,40,1.000,5.845,14230528.000,nan,2,0,24328485,curl,60,1.000,30.347,51528679.619,nan,2,0,3039578645,eat-memory,0,1.000,0.064,39218688.000,nan,1,0,0,43.933,117.718,7507922944.000,7527169024.000,88.836,89.066,nan,nan,40,0
figlet,40,1.000,6.047,14799530.667,nan,2,0,28184316,curl,60,0.921,29.685,3697980.952,nan,2,0,4832173276,eat-memory,0,1.000,0.100,37450376.533,nan,1,0,0,44.067,118.450,7551541248.000,7602577920.000,89.373,89.981,nan,nan,25,0
