function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,40,1.000,4.913,7553365.333,nan,2,0,11190948,shasum,100,1.000,8.219,7835079.111,nan,2,0,10046210,nmap,40,0.999,155.857,296899015.111,nan,2,0,10071098798,35.933,242.167,2615285760.000,2983793664.000,23.606,25.827,nan,nan,10,0
figlet,40,1.000,4.856,9815381.333,nan,2,0,10833573,shasum,100,1.000,8.365,10183509.333,nan,2,0,10331023,nmap,40,1.000,141.218,298765482.667,nan,2,0,7399794601,34.933,195.867,2795311104.000,3074793472.000,24.730,26.402,nan,nan,50,0
figlet,40,1.000,4.989,9873310.476,nan,2,0,12672364,shasum,100,1.000,7.491,3416166.400,nan,2,0,11575103,nmap,40,0.999,146.802,7252226.438,nan,2,0,8838701665,36.733,207.867,2926860288.000,3170924032.000,25.541,27.008,nan,nan,20,0
figlet,40,1.000,5.421,10253384.168,nan,2,0,14271895,shasum,100,1.000,8.435,11626496.000,nan,2,0,13852515,nmap,50,0.960,171.427,10493952.000,nan,2,0,16276194617,38.467,249.613,2985865216.000,3419152793.600,25.904,28.509,nan,nan,20,0
figlet,40,1.000,5.357,10431829.333,nan,2,0,11673932,shasum,100,1.000,9.057,3514368.000,nan,2,0,10359100,nmap,50,0.999,165.292,3358720.000,nan,3,0,13512529140,40.867,232.947,2970836992.000,3342524006.400,25.817,28.045,nan,nan,60,0
figlet,40,1.000,5.209,10419200.000,nan,2,0,9643149,shasum,100,1.000,8.625,3620864.000,nan,2,0,8431432,nmap,50,0.881,145.702,347287552.000,nan,2,1,16470677923,37.333,232.933,2970587136.000,3148282197.333,25.757,26.826,nan,nan,70,1
figlet,40,1.000,5.123,10419200.000,nan,2,0,10489376,shasum,100,1.000,8.459,3443200.000,nan,2,0,9440015,nmap,60,0.796,173.924,2609152.000,nan,3,1,19161462883,32.733,252.233,2986938368.000,3387770880.000,25.856,28.272,nan,nan,50,1
figlet,40,1.000,5.136,10450602.667,nan,2,0,10680647,shasum,100,1.000,8.975,3313152.000,nan,2,0,9530420,nmap,60,0.617,145.483,227819861.333,nan,2,1,20621357933,34.533,246.333,2961498112.000,3423776426.667,25.706,28.483,nan,nan,75,1
figlet,40,1.000,4.897,3192945.778,nan,2,0,10371450,shasum,100,1.000,8.635,12163559.619,nan,2,0,9216150,nmap,60,0.459,128.382,256031288.889,nan,2,1,22962524234,38.533,236.629,2958514176.000,3225444644.571,25.692,27.304,nan,nan,105,1
figlet,40,1.000,4.847,10063106.438,nan,1,0,6272780,shasum,110,1.000,9.513,11601476.267,nan,1,0,5461733,nmap,0,1.000,0.055,3652617.752,nan,1,0,0,34.733,73.467,2987145216.000,2954221568.000,25.872,25.675,nan,nan,115,0
figlet,40,1.000,5.546,10560170.667,nan,1,0,5333334,shasum,110,1.000,8.761,3615505.067,nan,1,0,4168440,nmap,0,1.000,0.053,3881164.800,nan,1,0,0,38.333,76.850,2921596928.000,2910602752.000,25.489,25.420,nan,nan,30,0
figlet,40,1.000,5.383,10536960.000,nan,1,0,5394960,shasum,110,1.000,10.087,12308138.667,nan,1,0,4274814,nmap,0,1.000,0.056,4099072.000,nan,1,0,0,36.667,75.417,2921631744.000,2911810560.000,25.490,25.428,nan,nan,30,0
figlet,40,1.000,5.056,3551744.000,nan,1,0,5984079,shasum,110,1.000,9.485,12332544.000,nan,1,0,4802739,nmap,10,1.000,40.447,9880234.667,nan,1,0,105663279,38.133,110.133,2937939968.000,2931998208.000,25.593,25.557,nan,nan,30,0
figlet,40,1.000,5.025,10333184.000,nan,1,0,6237385,shasum,110,1.000,8.896,3394645.333,nan,1,0,4887195,nmap,10,1.000,38.743,3337557.333,nan,1,0,105503361,38.667,109.300,2977777664.000,2960270336.000,25.844,25.736,nan,nan,30,0
figlet,40,1.000,5.030,10446677.333,nan,1,0,5963558,shasum,110,1.000,9.155,3524842.057,nan,1,0,4734564,nmap,10,1.000,38.831,3633254.400,nan,1,0,101214561,39.533,120.700,2986362880.000,2968689152.000,25.902,25.791,nan,nan,25,0
figlet,40,1.000,4.562,10408379.733,nan,1,0,7312728,shasum,110,1.000,8.963,3365614.933,nan,1,0,6180025,nmap,20,1.000,81.934,3631547.733,nan,1,0,114792126,39.133,159.000,2988732416.000,2976860672.000,25.918,25.841,nan,nan,30,0
