function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,100,1.000,11.178,6579234.133,nan,1,0,5542605,shasum,160,1.000,11.183,6361258.667,nan,1,0,4291073,env,140,1.000,10.174,5971919.238,nan,1,0,4158009,30.400,113.917,2923464704.000,2943911424.000,29.728,29.852,nan,nan,10,0
figlet,100,1.000,12.451,3571712.000,nan,1,0,5509289,shasum,160,1.000,12.275,10130261.333,nan,1,0,4440742,env,140,1.000,10.504,9523833.905,nan,1,0,4280553,34.267,109.383,3013732352.000,3012939264.000,30.279,30.274,nan,nan,60,0
figlet,100,1.000,12.077,10036224.000,nan,2,0,5692037,shasum,160,1.000,12.419,10387114.667,nan,1,0,4434502,env,140,1.000,10.517,3448832.000,nan,2,0,4339554,32.067,105.667,3093032960.000,3091503616.000,30.756,30.747,nan,nan,60,0
figlet,100,1.000,11.156,10238805.333,nan,2,0,5567975,shasum,160,1.000,11.468,3457024.000,nan,2,0,4522171,env,160,1.000,11.373,9641813.333,nan,2,0,4556349,34.067,104.050,3125149696.000,3122013696.000,30.952,30.933,nan,nan,60,0
figlet,100,1.000,11.050,3469312.000,nan,1,0,5269780,shasum,160,1.000,11.195,3448832.000,nan,1,0,4053258,env,160,1.000,10.683,3473408.000,nan,1,0,3860721,29.067,114.833,3139239936.000,3142256128.000,31.041,31.060,nan,nan,55,0
figlet,100,1.000,12.532,3751936.000,nan,1,0,5898344,shasum,160,1.000,11.569,10806301.257,nan,1,0,4556054,env,160,1.000,11.411,9945936.457,nan,1,0,4702190,33.200,116.350,3191265280.000,3172539392.000,31.372,31.255,nan,nan,30,0
figlet,100,1.000,12.176,10615978.667,nan,1,0,6436985,shasum,160,1.000,12.590,10523818.667,nan,1,0,4829028,env,180,1.000,13.717,3179144.533,nan,1,0,4613646,34.333,117.517,3213524992.000,3209012736.000,31.509,31.477,nan,nan,30,0
figlet,100,1.000,11.680,10782549.333,nan,2,0,6181552,shasum,160,1.000,11.879,10530304.000,nan,2,0,4919748,env,180,1.000,12.979,3594581.333,nan,1,0,4616815,34.733,114.033,3226992640.000,3214123008.000,31.593,31.512,nan,nan,30,0
figlet,100,1.000,11.623,10610688.000,nan,2,0,6366830,shasum,160,1.000,11.888,10939904.000,nan,2,0,5258488,env,180,1.000,12.997,10137258.667,nan,2,0,5135378,34.733,115.733,3232593920.000,3223775744.000,31.630,31.573,nan,nan,30,0
figlet,100,1.000,11.646,10712746.667,nan,1,0,5780163,shasum,160,1.000,11.823,3216640.000,nan,1,0,4509770,env,200,1.000,14.721,3229508.267,nan,1,0,4216930,32.733,129.117,3256631296.000,3243848192.000,31.777,31.696,nan,nan,25,0
figlet,100,1.000,11.150,10721792.000,nan,1,0,5827525,shasum,160,1.000,11.514,10783368.533,nan,1,0,4655862,env,200,1.000,13.596,10419302.400,nan,1,0,4450256,34.333,128.450,3264827392.000,3258284032.000,31.830,31.787,nan,nan,30,0
figlet,100,1.000,11.806,10615671.467,nan,1,0,5896141,shasum,160,1.000,11.099,10709455.238,nan,1,0,4775161,env,200,1.000,15.913,3665920.000,nan,1,0,4403463,33.400,121.650,3249629184.000,3240585216.000,31.731,31.677,nan,nan,60,0
figlet,100,1.000,11.898,7520256.000,nan,2,0,4895852,shasum,180,1.000,13.755,10904746.667,nan,2,0,3814280,env,0,1.000,0.043,3522560.000,nan,1,0,0,30.467,89.483,3234054144.000,3235805696.000,31.642,31.654,nan,nan,60,0
figlet,100,1.000,11.528,8364032.000,nan,2,0,5107275,shasum,180,1.000,13.311,10784256.000,nan,2,0,4037422,env,0,1.000,0.051,10008917.333,nan,1,0,0,32.667,91.150,3237582848.000,3234582528.000,31.677,31.656,nan,nan,45,0
figlet,100,1.000,11.320,10700117.333,nan,1,0,4984511,shasum,180,1.000,12.986,10680729.600,nan,1,0,4007843,env,0,1.000,0.059,9191424.000,nan,1,0,0,31.667,93.517,3180775424.000,3181325312.000,31.327,31.331,nan,nan,70,0
figlet,100,1.000,10.327,10938948.267,nan,1,0,5308945,shasum,180,1.000,14.113,10624716.800,nan,1,0,4345319,env,20,1.000,1.518,8884053.333,nan,1,0,4602966,35.133,98.750,3172069376.000,3171627008.000,31.285,31.280,nan,nan,30,0
figlet,100,1.000,12.201,3481600.000,nan,1,0,4954309,shasum,180,1.000,13.849,10741248.000,nan,1,0,3911237,env,20,1.000,1.761,3379200.000,nan,1,0,4853815,31.667,90.800,3218546688.000,3213296128.000,31.559,31.528,nan,nan,60,0
figlet,100,1.000,12.129,10596693.333,nan,1,0,4971286,shasum,180,1.000,13.726,10942122.667,nan,2,0,3927093,env,20,1.000,1.656,3493888.000,nan,2,0,4202049,31.067,89.967,3215159296.000,3223251456.000,31.541,31.590,nan,nan,60,0
figlet,100,1.000,11.411,3447773.867,nan,1,0,5009296,shasum,180,1.000,12.367,10682880.000,nan,1,0,3926638,env,40,1.000,3.000,3646122.667,nan,1,0,4035823,35.267,103.783,3256438784.000,3244071424.000,31.807,31.728,nan,nan,25,0
figlet,100,1.000,11.668,10727667.810,nan,1,0,5143646,shasum,180,1.000,13.793,10734270.171,nan,1,0,4139743,env,40,1.000,3.210,10159035.733,nan,1,0,4441251,35.000,101.683,3252047872.000,3244026368.000,31.783,31.730,nan,nan,30,0
figlet,100,1.000,11.811,10778794.667,nan,2,0,5273033,shasum,180,1.000,14.158,10740906.667,nan,2,0,4175151,env,40,1.000,3.416,3471189.333,nan,1,0,4215008,34.200,98.033,3272372224.000,3260140032.000,31.906,31.828,nan,nan,30,0
figlet,100,1.000,11.646,10823509.333,nan,2,0,5457880,shasum,180,1.000,13.396,10928298.667,nan,2,0,4259002,env,60,1.000,4.758,3343257.600,nan,2,0,4255115,34.600,99.117,3277557760.000,3263615488.000,31.942,31.853,nan,nan,30,0
figlet,100,1.000,11.449,3352268.800,nan,1,0,5003552,shasum,180,1.000,13.173,10918912.000,nan,1,0,3994740,env,60,1.000,4.659,10177706.667,nan,1,0,4170116,34.067,106.617,3281334272.000,3272058368.000,31.967,31.907,nan,nan,25,0
figlet,100,1.000,10.513,10700151.467,nan,1,0,4885290,shasum,180,1.000,12.143,10728140.800,nan,1,0,3885978,env,60,1.000,4.310,3594205.867,nan,1,0,4060651,32.467,101.517,3284455424.000,3272290304.000,31.989,31.911,nan,nan,30,0
figlet,100,1.000,12.125,3520989.867,nan,1,0,5582442,shasum,180,1.000,14.139,10826581.333,nan,1,0,4303820,env,80,1.000,6.566,10227029.333,nan,2,0,4341376,34.133,105.067,3292835840.000,3287551488.000,32.042,32.006,nan,nan,30,0
figlet,100,1.000,11.404,10825216.000,nan,2,0,5452672,shasum,180,1.000,13.410,10775722.667,nan,2,0,4532320,env,80,1.000,6.331,3248981.333,nan,2,0,4416236,33.133,100.867,3304312832.000,3291772416.000,32.116,32.035,nan,nan,30,0
figlet,100,1.000,11.111,10684245.333,nan,2,0,5401662,shasum,180,1.000,12.471,11006976.000,nan,2,0,4277645,env,80,1.000,5.791,10145109.333,nan,2,0,4312188,33.467,97.283,3329781760.000,3320640000.000,32.271,32.211,nan,nan,30,0
figlet,100,1.000,11.428,10802858.667,nan,1,0,5533549,shasum,180,1.000,12.548,10762410.667,nan,1,0,4112571,env,100,1.000,6.891,3513685.333,nan,1,0,4195305,32.333,111.017,3333627904.000,3308609024.000,32.296,32.142,nan,nan,25,0
figlet,100,1.000,11.830,10799650.133,nan,1,0,5378772,shasum,180,1.000,12.365,10773235.810,nan,1,0,4651179,env,100,1.000,6.745,3467195.733,nan,1,0,4126848,34.800,111.283,3309535232.000,3299264000.000,32.155,32.088,nan,nan,30,0
figlet,100,1.000,11.732,10836480.000,nan,1,0,5537975,shasum,180,1.000,13.619,10893141.333,nan,1,0,4820204,env,100,1.000,7.936,3493478.400,nan,2,0,4404697,34.933,107.167,3314913280.000,3303809536.000,32.188,32.117,nan,nan,30,0
figlet,100,1.000,11.545,3475514.514,nan,2,0,6036631,shasum,180,1.000,13.191,10903722.667,nan,2,0,4934014,env,120,1.000,9.002,10191872.000,nan,2,0,4913338,35.333,107.517,3309301760.000,3297376256.000,32.158,32.082,nan,nan,30,0
figlet,100,1.000,11.650,3280520.533,nan,1,0,5319153,shasum,180,1.000,13.265,10951509.333,nan,1,0,4178828,env,120,1.000,8.542,10198303.695,nan,1,0,4166911,35.200,119.150,3318196224.000,3306139648.000,32.214,32.138,nan,nan,25,0
figlet,100,1.000,10.620,10721601.829,nan,1,0,5143495,shasum,180,1.000,11.711,11100130.743,nan,1,0,4021304,env,120,1.000,8.116,3400362.667,nan,1,0,3971982,33.333,112.200,3336783872.000,3323422208.000,32.331,32.246,nan,nan,30,0
figlet,100,1.000,12.395,10734762.667,nan,1,0,5701682,shasum,180,1.000,13.365,11241301.333,nan,1,0,4953631,env,140,1.000,11.143,10205013.333,nan,1,0,4556662,33.533,115.450,3330713600.000,3318490112.000,32.295,32.218,nan,nan,30,0
figlet,100,1.000,11.546,10757461.333,nan,2,0,5819321,shasum,180,1.000,13.130,3727667.200,nan,1,0,4618992,env,140,1.000,10.496,3234577.067,nan,2,0,4453796,33.467,109.983,3333648384.000,3317432320.000,32.252,32.152,nan,nan,30,0
figlet,100,1.000,10.540,10717525.333,nan,1,0,5275434,shasum,180,1.000,12.411,11221845.333,nan,1,0,4199049,env,140,1.000,9.838,3473851.733,nan,1,0,3960804,33.333,118.083,3338117120.000,3334073344.000,32.286,32.256,nan,nan,25,0
figlet,100,1.000,10.399,10749269.333,nan,1,0,5301319,shasum,180,1.000,12.252,11258806.857,nan,1,0,4106585,env,160,1.000,10.704,10314581.333,nan,1,0,3999495,34.467,119.667,3357155328.000,3343919104.000,32.401,32.317,nan,nan,30,0
figlet,100,1.000,11.507,10792652.800,nan,1,0,6088256,shasum,180,1.000,13.045,11248571.733,nan,1,0,4993177,env,160,1.000,11.478,3326941.867,nan,1,0,4407280,34.400,116.933,3324778496.000,3313937920.000,32.208,32.139,nan,nan,30,0
figlet,100,1.000,12.199,10981376.000,nan,1,0,5792791,shasum,180,1.000,13.383,11342506.667,nan,1,0,4603271,env,160,1.000,12.251,3622434.133,nan,1,0,4319261,32.133,114.567,3329146880.000,3316226560.000,32.240,32.157,nan,nan,30,0
figlet,100,1.000,11.831,3591202.133,nan,2,0,6101051,shasum,180,1.000,13.522,11486890.667,nan,2,0,5153673,env,180,1.000,13.483,3289668.267,nan,2,0,4775011,33.867,117.517,3346821120.000,3332127232.000,32.346,32.253,nan,nan,30,0
figlet,100,1.000,11.080,3405550.933,nan,2,0,6098052,shasum,180,1.000,12.345,11442005.333,nan,2,0,4958901,env,180,1.000,12.274,10472960.000,nan,2,0,4684252,33.133,113.050,3360071680.000,3352110592.000,32.430,32.377,nan,nan,30,0
figlet,100,1.000,11.094,10855619.048,nan,1,0,5463105,shasum,180,1.000,12.270,11318662.095,nan,1,0,4190679,env,180,1.000,11.624,10310144.000,nan,1,0,4134742,32.400,121.400,3348578304.000,3336622592.000,32.348,32.277,nan,nan,55,0
figlet,100,1.000,12.803,10809685.333,nan,1,0,6417775,shasum,180,1.000,13.863,3334144.000,nan,1,0,5280435,env,200,1.000,15.434,10357077.333,nan,1,0,4704013,30.667,122.767,3324411904.000,3325574656.000,32.207,32.215,nan,nan,60,0
figlet,100,1.000,12.040,10824192.000,nan,1,0,6744018,shasum,180,1.000,13.563,11407530.667,nan,2,0,4904395,env,200,1.000,14.601,3481258.667,nan,1,0,5137423,33.533,121.417,3358978048.000,3349681152.000,32.431,32.371,nan,nan,30,0
figlet,100,1.000,10.869,10905429.333,nan,2,0,5965076,shasum,180,1.000,12.488,11342336.000,nan,2,0,4762767,env,200,1.000,13.816,10437973.333,nan,2,0,4279775,29.133,110.800,3338766336.000,3331305472.000,32.301,32.257,nan,nan,60,0
figlet,100,1.000,10.208,10733909.333,nan,2,0,4555978,shasum,200,1.000,13.059,3522560.000,nan,2,0,3667083,env,0,1.000,0.041,10383360.000,nan,1,0,0,32.800,94.800,3349338112.000,3347007488.000,32.316,32.304,nan,nan,55,0
figlet,100,1.000,11.261,4264682.057,nan,1,0,5079228,shasum,200,1.000,13.596,3457843.200,nan,1,0,4049514,env,0,1.000,0.049,9586887.924,nan,1,0,0,33.333,94.717,3355965440.000,3359774208.000,32.368,32.390,nan,nan,30,0
figlet,100,1.000,11.979,11012949.333,nan,2,0,4908044,shasum,200,1.000,14.964,11335509.333,nan,2,0,3762733,env,0,1.000,0.038,8421376.000,nan,1,0,0,32.267,92.250,3356053504.000,3354179072.000,32.362,32.352,nan,nan,60,0
figlet,100,1.000,11.435,10820266.667,nan,2,0,5174676,shasum,200,1.000,14.305,11365546.667,nan,2,0,4111880,env,20,1.000,1.606,8779605.333,nan,2,0,4299760,31.067,87.167,3354884096.000,3349693440.000,32.357,32.326,nan,nan,105,0
