function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,160,1.000,14.489,6426633.752,nan,2,0,15179526,shasum,140,1.000,9.734,6821931.886,nan,2,0,12950723,curl,160,1.000,60.834,57978172.952,nan,2,0,3978579481,30.000,225.467,3372949504.000,3511690752.000,35.193,36.039,nan,nan,10,0
figlet,160,1.000,16.701,10872046.933,nan,2,0,27084474,shasum,140,1.000,9.438,10379946.667,nan,2,0,16153040,curl,160,1.000,58.393,3395584.000,nan,2,0,4759226712,34.467,203.233,3769364480.000,3796865536.000,37.655,37.826,nan,nan,75,0
figlet,160,1.000,18.283,11670254.933,nan,2,0,35048717,shasum,140,1.000,10.545,3100672.000,nan,2,0,19558177,curl,160,1.000,52.921,58089613.410,nan,2,0,5473833932,31.533,197.950,3806115840.000,3853107712.000,37.871,38.164,nan,nan,85,0
figlet,160,1.000,16.525,11138779.429,nan,2,0,26014013,shasum,140,1.000,11.371,10565290.667,nan,2,0,19145918,curl,180,0.999,56.912,58568704.000,nan,2,0,7083542542,32.267,195.083,3845836800.000,3874165760.000,38.153,38.332,nan,nan,130,0
figlet,160,1.000,18.198,5914624.000,nan,2,0,30715424,shasum,140,1.000,11.472,9046016.000,nan,2,0,24587342,curl,180,0.995,59.083,77151163.733,nan,2,0,11837291333,28.667,190.600,3775563776.000,3869372006.400,37.739,38.307,nan,nan,140,0
figlet,160,1.000,17.016,12220537.905,nan,2,0,25718002,shasum,140,1.000,10.549,11544064.000,nan,2,0,16854861,curl,180,1.000,60.328,62036094.781,nan,2,0,8233937440,31.400,199.983,3822620672.000,3897957888.000,38.027,38.494,nan,nan,135,0
figlet,160,1.000,18.007,3112277.333,nan,2,0,14788345,shasum,140,1.000,10.945,3510954.667,nan,2,0,10678250,curl,200,0.529,44.026,62605880.889,nan,1,1,19787615808,29.867,180.844,3818528768.000,3873707008.000,38.024,38.362,nan,nan,145,1
figlet,160,1.000,14.693,12103850.667,nan,2,0,25438919,shasum,140,1.000,8.933,9933448.533,nan,2,0,17253471,curl,200,0.998,56.283,63070734.629,nan,2,0,10198328186,30.533,197.317,3862853632.000,3938597888.000,38.304,38.773,nan,nan,130,0
figlet,160,1.000,16.936,13283191.467,nan,2,0,40038331,shasum,140,1.000,11.971,8529920.000,nan,2,0,27659633,curl,200,1.000,68.640,49165312.000,nan,2,0,10697357545,31.533,224.573,3826935808.000,3927623270.400,38.098,38.718,nan,nan,140,0
figlet,160,1.000,18.152,12627114.667,nan,2,0,5318872,shasum,160,1.000,11.771,2932736.000,nan,2,0,4612042,curl,0,1.000,0.061,78592877.714,nan,1,0,0,30.400,104.167,3852994560.000,3812956160.000,38.267,38.029,nan,nan,135,0
figlet,160,1.000,18.625,12955306.667,nan,1,0,4435433,shasum,160,1.000,12.832,5877760.000,nan,1,0,3719582,curl,0,1.000,0.084,44045994.667,nan,1,0,0,32.533,97.733,3748073472.000,3729710080.000,37.649,37.540,nan,nan,75,0
figlet,160,1.000,17.621,12936874.667,nan,1,0,4305650,shasum,160,1.000,11.718,3319808.000,nan,1,0,3549560,curl,0,1.000,0.049,33129813.333,nan,1,0,0,33.400,94.267,3761786880.000,3756198400.000,37.744,37.707,nan,nan,45,0
figlet,160,1.000,16.608,12896256.000,nan,1,0,4759188,shasum,160,1.000,11.434,3641275.733,nan,1,0,3988467,curl,20,1.000,10.234,37899776.000,nan,1,0,376780021,33.933,106.283,3792123904.000,3793252352.000,37.926,37.932,nan,nan,30,0
figlet,160,1.000,17.408,12932851.810,nan,2,0,5393466,shasum,160,1.000,12.121,3439598.933,nan,2,0,4499514,curl,20,1.000,10.535,37636710.400,nan,1,0,378507860,33.533,121.117,3829671936.000,3840305664.000,38.161,38.226,nan,nan,25,0
figlet,160,1.000,18.985,12813141.333,nan,1,0,5435671,shasum,160,1.000,13.261,8200192.000,nan,1,0,4849608,curl,20,1.000,11.130,3608576.000,nan,1,0,376984979,33.067,115.933,3791378432.000,3795233280.000,37.923,37.946,nan,nan,75,0
figlet,160,1.000,17.746,12889258.667,nan,1,0,6224268,shasum,160,1.000,12.256,3607665.778,nan,1,0,5399225,curl,40,1.000,21.310,3416746.667,nan,1,0,384443664,34.200,125.800,3839586304.000,3827505152.000,38.228,38.150,nan,nan,45,0
figlet,160,1.000,16.033,12875776.000,nan,2,0,6551595,shasum,160,1.000,11.378,3617894.400,nan,2,0,6172452,curl,40,1.000,19.459,3733162.667,nan,2,0,381808125,33.933,142.350,3833450496.000,3822871040.000,38.144,38.077,nan,nan,40,0
figlet,160,1.000,14.713,12881056.914,nan,2,0,7107075,shasum,160,1.000,12.486,5659306.667,nan,2,0,6104003,curl,40,1.000,18.513,42120021.333,nan,2,0,385354744,34.067,140.800,3840399360.000,3840706048.000,38.186,38.184,nan,nan,45,0
figlet,160,1.000,18.633,7602176.000,nan,1,0,6701880,shasum,160,1.000,12.514,8204288.000,nan,1,0,5504999,curl,60,1.000,31.856,45819904.000,nan,1,0,384410727,30.133,142.033,3816159232.000,3828929024.000,38.028,38.104,nan,nan,75,0
figlet,160,1.000,17.270,13208746.667,nan,1,0,6867355,shasum,160,1.000,11.829,3678549.333,nan,1,0,5583962,curl,60,1.000,29.817,46867626.667,nan,1,0,380301932,32.133,137.633,3864981504.000,3862378496.000,38.336,38.315,nan,nan,45,0
figlet,160,1.000,16.668,3346261.333,nan,2,0,8768198,shasum,160,1.000,10.837,3351449.600,nan,2,0,7546555,curl,60,1.000,28.026,3282363.733,nan,2,0,389418385,32.400,156.067,3874584576.000,3871404544.000,38.395,38.373,nan,nan,40,0
