function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_eat-memory,rate_function_eat-memory,success_rate_function_eat-memory,cpu_usage_function_eat-memory,ram_usage_function_eat-memory,power_usage_function_eat-memory,replica_eat-memory,overloaded_function_eat-memory,medium_latency_function_eat-memory,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,34.067,34.067,4234663936.000,4234663936.000,38.357,38.357,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,30.200,30.200,4238946304.000,4238946304.000,38.389,38.389,nan,nan,20,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,shasum,0,1.000,0.000,0.000,nan,1,0,0,eat-memory,0,1.000,0.000,0.000,nan,1,0,0,30.200,42.800,4238946304.000,4263823360.000,38.389,38.538,nan,nan,10,0
figlet,0,1.000,0.050,4504576.000,nan,1,0,0,shasum,0,1.000,0.047,4443818.667,nan,1,0,0,eat-memory,20,1.000,61.190,60880213.333,nan,2,0,1074350598,33.133,101.800,4273467392.000,4311704576.000,38.596,38.826,nan,nan,15,0
figlet,0,1.000,0.044,4707908.267,nan,1,0,0,shasum,0,1.000,0.044,4644025.295,nan,1,0,0,eat-memory,20,1.000,59.695,3588608.000,nan,2,0,1071360895,35.333,94.250,4285419520.000,4329233408.000,38.673,38.934,nan,nan,30,0
figlet,0,1.000,0.048,4945408.000,nan,1,0,0,shasum,0,1.000,0.048,4833109.333,nan,1,0,0,eat-memory,20,1.000,63.925,65718954.667,nan,2,0,1072251711,31.933,88.217,4295049216.000,4335128064.000,38.732,38.970,nan,nan,30,0
figlet,0,1.000,0.047,5100665.905,nan,1,0,0,shasum,0,1.000,0.050,5097545.143,nan,1,0,0,eat-memory,40,1.000,129.997,105931161.600,nan,2,0,1083577113,35.267,165.700,4333185024.000,4413752832.000,38.967,39.445,nan,nan,25,0
figlet,0,1.000,0.051,5331114.667,nan,1,0,0,shasum,0,1.000,0.051,5312512.000,nan,1,0,0,eat-memory,40,1.000,140.898,3391488.000,nan,2,0,1085876258,36.800,159.300,4339775488.000,4412987904.000,39.004,39.439,nan,nan,30,0
figlet,0,1.000,0.048,5518677.333,nan,1,0,0,shasum,0,1.000,0.046,5473109.333,nan,1,0,0,eat-memory,40,1.000,134.918,3304686.933,nan,1,0,1088939096,35.067,175.400,4376942592.000,4445468672.000,39.235,39.640,nan,nan,25,0
figlet,0,1.000,0.045,5723040.427,nan,1,0,0,shasum,0,1.000,0.042,5674134.187,nan,1,0,0,eat-memory,60,0.631,201.348,3065173.333,nan,1,1,6147450431,33.267,241.787,4356241408.000,4536111513.600,39.102,40.180,nan,nan,30,1
figlet,0,1.000,0.044,5931554.133,nan,1,0,0,shasum,0,1.000,0.044,5846766.933,nan,1,0,0,eat-memory,60,0.551,241.739,3154602.667,nan,2,1,6695474406,36.467,253.067,4432764928.000,4579939942.400,39.587,40.466,nan,nan,15,1
figlet,0,1.000,0.045,6122700.800,nan,1,0,0,shasum,0,1.000,0.048,6018389.333,nan,1,0,0,eat-memory,60,0.687,230.651,250907170.133,nan,2,1,5977921274,36.667,237.027,4388397056.000,4549862195.200,39.327,40.291,nan,nan,20,1
figlet,0,1.000,0.052,6313984.000,nan,1,0,0,shasum,20,1.000,1.806,3112960.000,nan,2,0,4392091,eat-memory,0,1.000,0.059,3537578.667,nan,1,0,0,34.267,41.667,4420530176.000,4414054400.000,39.525,39.486,nan,nan,30,0
figlet,0,1.000,0.057,6904139.581,nan,1,0,0,shasum,20,1.000,1.971,5246103.162,nan,2,0,4661119,eat-memory,0,1.000,0.215,49953177.600,nan,1,0,0,33.667,41.967,4416718848.000,4401751040.000,39.503,39.412,nan,nan,30,0
figlet,0,1.000,0.053,7144789.333,nan,1,0,0,shasum,20,1.000,2.065,3141632.000,nan,2,0,4842338,eat-memory,0,1.000,0.055,34117632.000,nan,1,0,0,33.933,41.167,4398923776.000,4374597632.000,39.399,39.251,nan,nan,30,0
figlet,0,1.000,0.078,5626368.000,nan,1,0,0,shasum,20,1.000,1.929,3718348.800,nan,2,0,6352939,eat-memory,20,1.000,70.759,3006464.000,nan,2,0,1081135951,33.600,102.500,4358131712.000,4393972224.000,39.156,39.367,nan,nan,30,0
figlet,0,1.000,0.048,5352477.257,nan,1,0,0,shasum,20,1.000,2.044,3212117.333,nan,2,0,6422262,eat-memory,20,1.000,61.953,3489553.067,nan,2,0,1076864149,37.267,110.150,4378822656.000,4401319936.000,39.290,39.419,nan,nan,25,0
figlet,0,1.000,0.052,5404672.000,nan,1,0,0,shasum,20,1.000,1.890,3604138.667,nan,2,0,5589146,eat-memory,20,1.000,67.175,2924544.000,nan,2,0,1076224222,35.467,102.067,4365746176.000,4394412032.000,39.206,39.373,nan,nan,30,0
figlet,0,1.000,0.045,5449045.333,nan,1,0,0,shasum,20,1.000,1.718,3392512.000,nan,2,0,7600761,eat-memory,40,1.000,124.136,3333563.733,nan,2,0,1089071047,36.467,172.617,4394225664.000,4457571328.000,39.383,39.756,nan,nan,25,0
figlet,0,1.000,0.048,5428906.667,nan,1,0,0,shasum,20,1.000,1.835,3528533.333,nan,2,0,7053190,eat-memory,40,1.000,135.947,3553280.000,nan,2,0,1085718454,32.800,159.350,4381583360.000,4453534720.000,39.299,39.726,nan,nan,30,0
figlet,0,1.000,0.044,5431466.667,nan,1,0,0,shasum,20,1.000,1.851,10008576.000,nan,2,0,7517776,eat-memory,40,1.000,134.352,3776955.733,nan,1,0,1091540065,35.800,180.817,4419104768.000,4474446848.000,39.533,39.856,nan,nan,25,0
figlet,0,1.000,0.048,5421290.057,nan,1,0,0,shasum,20,1.000,1.949,3299328.000,nan,2,0,10523728,eat-memory,60,0.404,198.274,3730432.000,nan,1,1,8334874397,37.667,241.813,4379918336.000,4546505932.800,39.288,40.281,nan,nan,30,1
figlet,0,1.000,0.046,5439839.086,nan,1,0,0,shasum,20,1.000,1.817,3377425.067,nan,2,0,9380882,eat-memory,60,0.418,204.335,3005098.667,nan,1,1,8203557130,36.733,245.013,4443576320.000,4572023603.200,39.674,40.439,nan,nan,30,1
figlet,0,1.000,0.046,5513680.213,nan,1,0,0,shasum,20,1.000,1.989,3028992.000,nan,2,0,9720810,eat-memory,60,0.380,239.097,3081557.333,nan,1,1,8380793611,38.867,250.200,4507156480.000,4619541708.800,40.058,40.728,nan,nan,15,1
figlet,0,1.000,0.047,5545472.000,nan,1,0,0,shasum,40,1.000,3.659,3296759.873,nan,2,0,4447594,eat-memory,0,1.000,23.223,88770389.333,nan,1,0,0,34.600,50.750,4457404416.000,4451003904.000,39.767,39.726,nan,nan,20,0
figlet,0,1.000,0.050,5549568.000,nan,1,0,0,shasum,40,1.000,3.962,9929386.667,nan,2,0,4463848,eat-memory,0,1.000,0.046,59367424.000,nan,1,0,0,33.867,47.883,4427804672.000,4405815296.000,39.589,39.457,nan,nan,25,0
figlet,0,1.000,0.046,5541936.762,nan,1,0,0,shasum,40,1.000,3.893,3381540.571,nan,2,0,4410833,eat-memory,0,1.000,0.109,40952832.000,nan,1,0,0,33.067,46.650,4359608320.000,4343062528.000,39.181,39.081,nan,nan,30,0
figlet,0,1.000,0.052,5656064.000,nan,1,0,0,shasum,40,1.000,3.710,3559662.933,nan,2,0,5032958,eat-memory,20,1.000,68.811,3031040.000,nan,2,0,1074936477,32.733,104.400,4346673152.000,4378482176.000,39.105,39.293,nan,nan,30,0
figlet,0,1.000,0.046,5700266.667,nan,1,0,0,shasum,40,1.000,3.395,9783808.000,nan,2,0,4983299,eat-memory,20,1.000,60.088,3286357.333,nan,2,0,1073330747,31.467,106.483,4342966272.000,4372713472.000,39.085,39.260,nan,nan,25,0
