function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,33.333,33.333,4786728960.000,4786728960.000,40.277,40.277,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,33.333,33.333,4786728960.000,4786728960.000,40.277,40.277,nan,nan,10,0
figlet,0,1.000,0.000,0.000,nan,1,0,0,nmap,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,32.133,32.133,4698036224.000,4698036224.000,39.754,39.754,nan,nan,20,0
figlet,0,1.000,0.053,3892736.000,nan,1,0,0,nmap,0,1.000,0.043,3911338.667,nan,1,0,0,env,20,1.000,1.938,6002005.333,nan,1,0,4408947,32.133,42.733,4698036224.000,4696679424.000,39.754,39.746,nan,nan,10,0
figlet,0,1.000,0.051,4082346.667,nan,1,0,0,nmap,0,1.000,0.048,4150515.810,nan,1,0,0,env,20,1.000,1.791,9344853.333,nan,2,0,4133075,33.867,40.750,4736522240.000,4732729344.000,39.990,39.966,nan,nan,30,0
figlet,0,1.000,0.051,4292949.333,nan,1,0,0,nmap,0,1.000,0.046,4417414.095,nan,1,0,0,env,20,1.000,1.760,9531050.667,nan,2,0,4142263,33.400,41.017,4717076480.000,4718000128.000,39.875,39.879,nan,nan,30,0
figlet,0,1.000,0.048,4491815.010,nan,1,0,0,nmap,0,1.000,0.044,4593264.152,nan,1,0,0,env,40,1.000,4.085,3231505.067,nan,2,0,4165671,33.133,46.850,4716490752.000,4721070080.000,39.871,39.898,nan,nan,30,0
figlet,0,1.000,0.051,4683264.000,nan,1,0,0,nmap,0,1.000,0.052,4782933.333,nan,1,0,0,env,40,1.000,3.821,9686186.667,nan,2,0,4186790,33.333,45.433,4736819200.000,4733260800.000,39.995,39.972,nan,nan,30,0
figlet,0,1.000,0.050,4898133.333,nan,1,0,0,nmap,0,1.000,0.052,5014869.333,nan,1,0,0,env,40,1.000,3.672,3174400.000,nan,2,0,4200173,33.467,45.133,4731994112.000,4710808576.000,39.967,39.839,nan,nan,30,0
figlet,0,1.000,0.046,5100885.333,nan,1,0,0,nmap,0,1.000,0.044,5160960.000,nan,1,0,0,env,60,1.000,5.270,4109824.000,nan,2,0,3903073,32.867,50.350,4689061888.000,4688643072.000,39.712,39.709,nan,nan,25,0
figlet,0,1.000,0.049,5307416.381,nan,1,0,0,nmap,0,1.000,0.056,5368417.524,nan,1,0,0,env,60,1.000,4.813,9747114.667,nan,2,0,3948848,31.667,49.417,4685129728.000,4675332096.000,39.689,39.628,nan,nan,30,0
figlet,0,1.000,0.045,5485397.333,nan,1,0,0,nmap,0,1.000,0.047,5585408.000,nan,1,0,0,env,60,1.000,5.695,9637449.143,nan,2,0,3972598,32.000,50.400,4662777856.000,4660423680.000,39.556,39.541,nan,nan,30,0
figlet,0,1.000,0.048,5700949.333,nan,1,0,0,nmap,0,1.000,0.048,5763584.000,nan,1,0,0,env,80,1.000,7.235,9725610.667,nan,2,0,3920835,31.867,53.750,4667080704.000,4666555904.000,39.583,39.579,nan,nan,30,0
figlet,0,1.000,0.047,5878954.667,nan,1,0,0,nmap,0,1.000,0.046,5963605.333,nan,1,0,0,env,80,1.000,6.635,9814528.000,nan,2,0,3931556,34.867,54.917,4687517696.000,4688823296.000,39.711,39.718,nan,nan,30,0
figlet,0,1.000,0.046,6042112.000,nan,1,0,0,nmap,0,1.000,0.049,6144853.333,nan,1,0,0,env,80,1.000,6.939,9674240.000,nan,2,0,3823406,32.200,54.417,4693393408.000,4690819584.000,39.744,39.729,nan,nan,25,0
figlet,0,1.000,0.050,6516243.505,nan,1,0,0,nmap,0,1.000,0.048,6693205.333,nan,1,0,0,env,100,1.000,8.098,9774489.600,nan,2,0,3794184,33.200,59.167,4683479040.000,4680384000.000,39.685,39.665,nan,nan,30,0
figlet,0,1.000,0.047,6868138.667,nan,1,0,0,nmap,0,1.000,0.043,6909440.000,nan,1,0,0,env,100,1.000,8.955,9913685.333,nan,2,0,4117555,32.733,56.883,4684544000.000,4671791616.000,39.691,39.613,nan,nan,30,0
figlet,0,1.000,0.054,6062592.000,nan,1,0,0,nmap,0,1.000,0.055,5862741.333,nan,1,0,0,env,100,1.000,9.051,9802410.667,nan,2,0,4384538,33.467,61.217,4678942720.000,4675069440.000,39.659,39.634,nan,nan,30,0
figlet,0,1.000,0.046,5202944.000,nan,1,0,0,nmap,0,1.000,0.043,5269674.667,nan,1,0,0,env,120,1.000,9.898,9832277.333,nan,2,0,3707363,33.400,64.667,4698030080.000,4697001472.000,39.772,39.766,nan,nan,25,0
figlet,0,1.000,0.052,5198984.533,nan,1,0,0,nmap,0,1.000,0.049,5362541.714,nan,1,0,0,env,120,1.000,9.653,9858633.143,nan,2,0,3515870,32.667,61.133,4694403072.000,4690918912.000,39.752,39.729,nan,nan,30,0
figlet,0,1.000,0.044,5096106.667,nan,1,0,0,nmap,0,1.000,0.045,5348391.010,nan,1,0,0,env,120,1.000,9.682,9983317.333,nan,2,0,3463976,32.267,59.583,4695803904.000,4691854848.000,39.762,39.736,nan,nan,30,0
figlet,0,1.000,0.049,5167445.333,nan,1,0,0,nmap,0,1.000,0.050,5420373.333,nan,1,0,0,env,140,1.000,11.731,9730901.333,nan,2,0,3565881,32.267,63.883,4693839872.000,4691542016.000,39.749,39.734,nan,nan,30,0
figlet,0,1.000,0.049,5238784.000,nan,1,0,0,nmap,0,1.000,0.048,5449386.667,nan,1,0,0,env,140,1.000,11.728,9968298.667,nan,2,0,3799219,33.600,65.583,4711987200.000,4711604224.000,39.860,39.858,nan,nan,30,0
figlet,0,1.000,0.057,5290325.333,nan,1,0,0,nmap,0,1.000,0.055,5520042.667,nan,1,0,0,env,140,1.000,11.633,9961301.333,nan,2,0,3686912,35.800,70.733,4723861504.000,4722966528.000,39.932,39.926,nan,nan,25,0
